statement|sentiment|topic|url
A Visionaries Panel, moderated by Forrester Research Analyst Suresh Vittal, featuring Bradley Honan, Senior Vice President at StrategyOne, Greg Radner, Global Head of PR Services at Thomson Reuters and Brad McCormick, Director of Digital at Porter Novelli, will headline the Sentiment Analysis Symposium.|NEU|research computing|http://www.kdnuggets.com/2010/02/meeting-sentiment-symposium.html
A Website Preview User Comments Product Description Cash Making Affiliate Sites is a push button system developed by Melford and Concetta Bibens that will help affiliate marketers put their earnings on autopilot.|NEU|natural language technology|http://www.imreportcard.com/products/cash-making-affiliate-sites
A baby boomer is of powerful data mining her brow will be Leiser that was introduced.|NEU|search engine|http://pqjnls1118.jelev.eu/oxc/
A back link will run on autopilot and will drive traffic to your website.|NEU|machine human interface|http://www.articlesurfers.com/articledetail.php?artid=6986&catid=95&title=The-Benefits-Of-Free-Web-Advertising
A bayesian superintelligence is not logically omniscient so some of it's beliefs will be logically inconsistent.|NEG|machine human interface|http://lesswrong.com/lw/2jd/open_thread_august_2010/
A better understanding of the subatomic world could lead to breakthroughs in quantum computing and super-secure communication.|POS|research computing|http://www.depoteco.com/tag/black-holes/
A big AI settlement will have most of that and one or more rocket turrets that can rain spammy death on your head faster than Grad.|NEG|machine human interface|http://w-shadow.com/blog/2009/11/20/game-review-love/
A biochemical approach complementary to that in aim 1 will employ radiolabeled AI-2 and cell fractionation to identify the S.|NEU|machine human interface|http://labvelocity.com/topics/investigative/clinical/cytological/cell-fractionation-17470.html
A board of directors will oversee the new law center and is comprised of Moglen; Diane Peters, the general counsel at OSDL; Daniel Weitzner, the principal research scientist at MITs Computer Science and Artificial Intelligence Laboratory; and Lawrence Lessig, a Stanford Law School professor and author.|NEU|machine human interface|http://www.eweek.com/c/a/Linux-and-Open-Source/OSDL-Helps-Fund-New-OpenSource-Legal-Center/
A brief list of what the board will be going over at the May meeting are: copyrighting PYGORA, AI report for PBA, new members in Breeders Book, Bylaws update, web master applicants, merchandising guidelines, voting procedure for the future, reviewing regions and membership locations, dues increase, and committee and officer reports and more.|NEU|natural language technology|http://pba-pygora.net/PresMsg/PresidentsMsg_2003-05.html
A brief summary: Any AI that's at least as smart as a human and is capable of self-improving, will improve itself if that will help its goals The preceding statement applies recursively: the newly-improved AI, if it can improve itself, and it expects that such improvement will help its goals, will continue to do so.|POS|machine human interface|http://lesswrong.com/lw/304/what_i_would_like_the_siai_to_publish/2voi?c=1&context=1
A business that would run on autopilot.|NEU|machine human interface|http://www.ayalala.com/2010/08/28/can-a-husband-father-of-two-make-money-online/
A but oppose B should fear that if they vote for A now, such a vote may lead others to vote for B laterand that though a logical line could be drawn between A and B (yes cameras, no archiving, no face recognition), most voters will decide to draw the line on the far side of B rather than on the near side.|NEU|search engine|http://saf.org/journal/17/TheMechanisms.htm
A byproduct OF that awareness May fuel element A SHIFT away from acting on autopilot toward more desirable ways OF behaving.|NEU|search engine|http://projectsjugaad.com/appleproject2/With_iMac_one_works_substantially_more_productively_If_I_already_times_over.html
A byproduct of that awareness may be a shift away from acting on autopilot toward more desirable ways of behaving.|NEU|machine human interface|http://nudges.org/tag/mirror/
A call for further investigation into the feasibility of risk-reducing measures such as these may help to inspire research efforts in this area, which may be easier for academics to contribute to today than the development of a theory of Friendly AI.|NEU|machine human interface|http://singinst.org/grants/containing
A candidate for this position will be interested in big data, distributed systems, availability and reliability of large systems, fault-tolerance, efficiency and performance, message queueing, etc.|POS|machine human interface|http://rss2.com/feeds/jobs.joelonsoftware.com/1038/
A car editor menu with the following options will appear: Drafting effect Draft distance Front downforce Rear downforce Fuel consumption rate Incremental braking Tire wear rate AI speed percentage (50-150) Torque spins Centrifugal force Note that some of these options can be set with a negative number.|NEU|natural language technology|http://gaming4dummies.com/codes.ht/5757/5757.html
A challenge evaluation will give rise to a shared infrastructure, including annotated training and test data, and shared evaluation methods.|NEU|research computing|http://mitre.org/work/tech_papers/tech_papers_02/hirschman_accombiology/index.html
A civil war - Doesn't happen Moving the capital to Beijing - Could happen, but no reason it should, and the AI won't do it Extension of the Grand Canal - Not represented in game An attempt to conquer what is now northern Vietnam that failed after many years of heavy fighting - Literally cannot happen, but if it did happen the invasion would be trivial, as the target has three provinces and doesn't even have forts.|NEG|machine human interface|http://forum.paradoxplaza.com/forum/showthread.php?511406-Chinese-factions-limit-the-player-too-much-IMO&p=11911368
A clearer model of the collective action problems surround AI risks will help to estimate the value of institutional mechanisms for coordination, and to allocate resources between research into such mechanisms and other risk-reducing strategies.|NEU|machine human interface|http://singinst.org/grants/collectiveaction
A client will ask the designer for the master Photoshop (PSD) or Illustrator (AI) file yet they do not have the software to open it nor the experience to do anything with it even if they had the program.|NEU|machine human interface|http://www.claytowne.com/beats-digging-ditches/why-wont-my-designer-give-me-the-layered-master-photoshop-files-i-paid-for-them-didnt-i/
A closer look at just how much land is readily available for industrial use in each of the three major industrial classifications (GI, PI, AI) will be made below, when each zone is examined in turn.|NEU|machine human interface|http://nashuanh.gov/AddOns/masterplan/Industrial.htm
A code change in AutoTakeOff so if the player is in Manual Engine Management the AI will take off in 30 seconds but if the player is in Auto Engine Management the AI will take off in 10 seconds.|NEU|gaming|http://shockwaveproductions.com/forum/viewtopic.php?f=10&t=21865&sid=e94393c0cea3bc80a58aa0d6c9d9c3c1
A combination of him writing, the lSA scribing and the laptop seems to be the best for him and we are looking into voice recognition for at home later(although his voice will be breaking at some point and that might make it difficult as the computer has to recognise their voice).|NEU|machine human interface|http://hypermobility.org/forum/viewtopic.php?f=18&t=10135&p=168345
A combination of test data, population characteristics, and engineering simulations will be used to quantify relative degradation.|NEU|research computing|http://proctoreng.com/reports/persist2.html
A common task you will have to do for financial service applications is reset the test data.|NEU|finance|http://softwareqatestings.com/index.php?view=article&catid=35%3Aperformance-load-and-stress-testing&id=473%3Aa-road-map-for-performance-testing-provide-information&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=4227
A complex economic system and AI players that will not only try to compete with you but will also try and take over your business!|NEU|machine human interface|http://www.hookedgamers.com/pc/sid_meiers_railroads.html
A comprehensive and balanced curriculum will ensure that the education in data mining sets a solid foundation for the healthy growth of the field, and it will promote systematic training of students in computer science, information sciences, and other related fields, and it will provide guidance for the training of the next generation of data mining researchers, developers and technology users.|POS|machine human interface|http://sigkdd.org/curriculum.php
A comprehensive circuit model for the MFMISFET will be developed and validated using test data from the experimental circuit.|NEU|research computing|http://dodsbir.net/selections/abs031/dodabs031.htm
A comprehensive study will be made of each malfunction and test data interpretation.|NEU|research computing|http://icc.edu/catalog/descResults.asp?prefix=DPET
A comprehensive test will include pure tone testing, speech recognition and understanding, and other more specialized tests as needed for a thorough picture of your hearing loss.|NEU|transhumanism|https://truhearing.com/about_hearing/hearing_assessment
A computational neural network will be created to simulate memory processing leading to a finer-grained model of the information processing style and cognitive capabilities of those with fragile X.|NEU|research computing|http://fraxa.org/ra_Johnson-Glenberg.aspx
A computer such as the one that is translating my brain can easily become the mind for a robot, making AI a reality-only that it would be functioning on the memory of a living entity.|NEU|machine human interface|http://www.schneier.com/blog/archives/2005/12/the_security_th_1.html
A computer vision engine will have lots of data, even though most of it is used only for testing purposes and little used at runtime.|NEU|computer vision|http://www.kurzweilai.net/ask-ray-we-could-have-had-the-benefits-of-the-singularity-years-ago
A conceptual design of a subscale testbed that would provide flight test data of the critical technologies, and a first order estimate of the cost to build and fly such a testbed.|NEU|finance|http://www.aerotechnews.com/local/mainnews/NASA-selects-companies-for-advanced-aircraft-concepts-study
A conclusion will provide an assessment of whether or not AI has been successful in achieving its Moratorium 2000 Project goal.|NEU|machine human interface|http://lotsofessays.com/viewpaper/1685005.html
A context sensitive AI would only create more problems with the AI.|NEG|machine human interface|http://thereticule.com/2009/06/arma-ii-the-verdict/
A copy of test data showing the results of the fuel resistance test in Appendix A shall also be submitted to the Engineer.|NEU|natural language technology|http://pavementpro.org/sealcoat_engbrief46.htm
A critical point in AI development would be a machine that could usefully work on the problem of self-improvement.|POS|machine human interface|http://www.acceleratingfuture.com/michael/blog/2009/12/page/2/
A cruising boat will sail far more efficiently if it is balanced and will be more comfortable, particularly when using an autopilot.|POS|machine human interface|http://truvusailingsystems.com/index/?m=20100411&paged=4
A data mining study of stock exchange data may identify stock evolution regularities for overall stocks and for the stocks of particular companies.|NEU|finance|http://fairoenterprises.com/SEOtags/financial
A data mining user should be able to select a category and see a summarized data item broken out by the various items in the category.|NEU|search engine|http://vb123.com/kb/199808_gr_explore.htm
A debug menu that allows invincibility, secret weapons, enemy summoning, toggle enemy AI, FMV sequence skip, and other effects will now appear.|NEU|gaming|http://gamecodes.com/lenny/tenchu.html
A debug menu that allows invincibility,bonus weapons, enemy summoning, enemy AI toggles, FMV sequenceskip, and other effects will appear.|NEU|gaming|http://www.console-cheats.com/playstation/TenchuStealthAssassins.shtml
A decision tree might be considered a deep learning system.|NEU|machine human interface|http://hunch.net/?p=219&cpage=1
A degree in Statistics would be better since a lot of practical machine learning techniques originate from applied probability and statistics.|POS|machine human interface|http://hunch.net/?p=275&cpage=1&replytocom=107796
A doctor may ask for blood test data from old records for comparison.|NEU|natural language technology|http://hepatitis-central.com/hcv/labs/liverenzymes.htm
A face recognition facility will find faces in all uploaded videos and, for users who post their content on Facebook, will also automatically identify their Facebook friends who appear in the video.|NEU|social media|http://thepixelreport.org/2010/11/05/clever-clicks-unlock-new-paths-through-video/
A face recognition time attendance will enable them to record daily attendance details without any contact with the attendance keeping system.|NEU|computer vision|http://www.articlesdirectory.org/articles/140117/1/Biometric-time-attendance-system-is-a-need-for-indian-government-offices/Page1.html/print/140117
A faster group of units would be more dangerous because it would reach the AI area in less time.|NEG|machine human interface|http://www.gamedev.net/reference/articles/article1085.asp
A federated architecture that allows local databases to be fully tailored to the needs of particular centers and enforces communication with the central repository to enable data mining across centers would be a preferable alternative.|NEU|search engine|http://www.nigms.nih.gov/News/Reports/PSIDataWorkshop2003.htm
A few (2-3) shots kills you, using cover is important, running rambo-style into a crowd of AI will result in you being killed.|NEG|machine human interface|http://gametoast.com/forums/viewtopic.php?f=72&t=24161&p=413276
A few examples of future technologies include Digital TV with enhanced captioning display capabilities, advanced applications allowing the remote control to interface with everyday devices and appliances, and text-to-speech and speech recognition technology that may evolve into the development of truly universally accessible user interfaces for many types of products.|POS|natural language technology|http://abilitymagazine.com/CSUN_Conference.html
A few of these are personal or targeted, and we'll put those under the heading of data mining and be done with them.|NEU|machine human interface|http://inwa.net/~m3047/archive-org.html
A few things to note are Shiva's AI (or lack thereof) in the single-player co-op feature, the lack of ammo, and what boss battles will be like.|NEU|gaming|http://www.gamegrep.com/games/resident_evil_5/
A file that can be regenerated automatically but requires several hundred years of computation on a supercomputer will effectively prevent most people from compiling the software and installing it on their device (if that file is required during installation or during run time).|NEU|machine human interface|http://advogato.org/person/Raphael/diary.html?start=41
A final possibility would be to use the simple noun and verb chunker to create a large set of training data that could be used to train a rescoring chunker.|NEU|natural language technology|http://alias-i.com/lingpipe/demos/tutorial/posTags/read-me.html
A first inclination might be to select Manufacturer B since the test data indicated a longer average life (52,000 cycles versus 44,000 cycles).|NEU|search engine|http://quanterion.com/ReliabilityQues/V2N2.html
A follow-on to his wildly popular Cutter IT Journal issue of the same title, this webinar will help you better understand the implications of applying semantic web technologies to business problem domains where traditional enterprise systems have fallen short, such as BI, data mining, and CRM.|NEU|natural language technology|http://www.cutter.com/events/multimedia/semantic-enterprise.html
A four-player game on normal will actually be harder than a one-player game on normal because the AI behaviour will account for extra players.|NEU|gaming|http://spong.com/detail/editorial.jsp?eid=10110203&page=2
A fraction of maximum possible threat an AI can have.|NEG|machine human interface|http://openwarfaremod.com/cod4script/ai/setentitytarget.htm
A framework for discussing the complexity of a pattern recognition operation in this application will be proposed, along with some specific examples showing how this framework applies.|NEU|computer vision|http://www.chemicalprocessing.com/whitepapers/2008/029.html
A future effort will merge the ESR with the Electronic Training Jacket (ETJ), providing a single point-of-entry to view and maintain personnel and training data for officer and enlisted, as well as career counseling data for the enlisted Sailors.|NEU|search engine|https://acquisition.navy.mil/rda/home/programs/information_communications/nsips
A future line of research should therefore also evaluate the use of entity-specific sets of fuzzy rules, generated based on homogeneous training data.|NEU|research computing|http://ro-journal.com/content/4/1/39
A general solution of many of the above problems effectively requires human knowledge and experience, and would thus require advanced artificial intelligence technologies to be implemented on a computer.|NEU|machine human interface|http://www.fact-index.com/s/sp/speech_recognition.html
A good (although not perfect) AI will also prevent unnecessary losses: if threatened by enemy fire your units, if not under your direct control, will automatically duck and attempt to reach some cover.|NEU|machine human interface|http://www.gamersgate.com/DD-MOW/men-of-war
A good Forex Autopilot Robot review should tell you all of these things so that you will be guided with your purchase.|NEU|finance|http://forexandoptions.com/tag/look
A good argument could be made for an Island instead for Daze, but I'm crossing my fingers AI won't have Dark Ritual or something) AI plays Swamp.|NEU|machine human interface|http://www.slightlymagic.net/forum/viewtopic.php?f=66&t=3664
A good visual pattern recognition module would be a great asset to a natural language program like Talk, and would facilitate learning in a more human way.|POS|natural language technology|http://25yearsofprogramming.com/ai/wtalk/talkdoc.htm
A great microphone with a substandard sound card (one that is poorly shielded) will make it difficult to work with speech recognition software.|NEG|natural language technology|http://speechcomputing.com/node/1021
A group of young tech geeks meet each other online and decide toform an IT company and create a new search engine called CROOK, which will use sophisticated artificial intelligence technology to interpret user intent and provide the best search results possible.|POS|search engine|http://www.nipponcinema.com/trailers/akihabara-deep-the-movie-trailer
A growing numbers of medical transcription editors will be needed to amend patients' records, edit documents from speech recognition systems, and identify discrepancies in medical reports.|NEU|natural language technology|http://careerstep.com/mtepricing/index.php?p=mt
A gs tutorial and AI tutorial would be awesome, I still have my gs tutorial but it's only for 3 level and Omnicalc.|POS|machine human interface|http://www.omnimaga.org/index.php?topic=24.msg235
A hard AI in MvC3 will keep comboing you until you're left with a fraction of your lifebar in half as much time.|NEU|gaming|http://elecbyte.com/forum/index.php?topic=1270.45
A hard AI in SSF4 will not deal more than half a lifebar of damage in ten seconds.|NEU|gaming|http://elecbyte.com/forum/index.php?topic=1270.45
A high index of suspicion and broader syndrome pattern recognition for catatonia should be exercised by clinicians, and should include precise description of signs.|NEU|search engine|http://annals-general-psychiatry.com/content/5/1/14/JavaScript1.1
A highly Sagacious AI would be very adept at learning new material, at internalizing input to create a more accurate model of the universe, and using this model to produce insightful output.|POS|machine human interface|http://www.acceleratingfuture.com/michael/blog/2007/07/
A homeowner being interrogated on falsifying an insurance claim could be told, AI doubt if your premiums will go down.|NEG|natural language technology|http://reid.com/educational_info/r_tipsprint.html?serial=3263547976109433
A host of other local luminaries such as Shauna Causey, Damon Cortesi, Chris Pirillo, and Monica Guzman,will join panels to talk about tools and applications, data mining strategies, and branding.|NEU|machine human interface|http://www.seattle20.com/blog/sponsors-20100315.aspx
A human would cease to be blood and bone and becomes a cyborg (part machine) or a fully machine intelligence--with electronic capabilities projected to be many times as great as those of the bodies they currently inhabit.|NEU|machine human interface|http://arjay.bc.ca/EthTech/Text/Ch6/Ch6.2.html
A human-equivalent AI system would face exactly the same problem we face when we try to invent or discover the new model.|NEG|machine human interface|http://geniebusters.org/29_singularity.html
A hypothetical example would be if some company develops a quantum computer along with an algorithm that can beat every other conventional computer at pattern recognition.|NEU|machine human interface|http://ieet.org/index.php/IEET/more/brin20100907
A knowledge-based trending and analysis module will utilize several data mining techniques to synthesize trends in the historic behavior of certain measures of interest.|NEU|research computing|http://beepdf.com/doc/8872/research_and_technology_1997_annual_report.html
A lady Pam that I met at the Tulsa AI concert is going to London to see David!|NEU|machine human interface|http://fansofdavid.com/?p=19583
A large project will be required that encourages students to push the limits of existing data mining techniques.|NEU|research computing|http://iit.edu/csl/cs/programs/course_descriptions.shtml
A larger slice of that pie disappears You WILL NOT work with speech recognition.|NEG|natural language technology|http://www.mtchat.com/ubbthreads.php?ubb=showflat&Number=67900&page=2
A little thought should make it clear that spam detection is AI-complete.|NEU|machine human interface|http://lemonodor.com/archives/2003_08.html
A little update should come by the end of the week I guess, with the new FX, the new move(s) for Goddamn mode, all the fixes, AI, etc.|NEU|gaming|http://mugenguild.com/forumx/index.php?action=printpage;topic=115858.0
A machine intelligence may not take this for granted.|NEU|machine human interface|http://caius-ebook.com/Consensus.htm
A mainframe will require well over a hundred hard disk drives to function effectively, while a regular supercomputer will need closer to a thousand.|NEU|machine human interface|http://keywordelites2.com/computer-and-operating-systems/
A major supercomputer Horst Simon who is the deputy lab director said the competition for the fastest computer will be a tough challenge.|NEU|transhumanism|http://14daysinparadise.com/2010/computers-and-software/competition-for-building-worlds-fastest-computer/
A maximum of 14 participants will learn about the possibilities of this vast world of Alternative Game Controls through hands-on demonstrations and experiments playing with various sensors, switches, computer vision, the Arduino, code and more.|NEU|computer vision|http://eyebeam.org/press/press_releases/summer-school-2010-studio-based-masterclasses
A membership site that will allow you to use the famed Forex Autopilot system, FAP Winner will allow you to know about a plethora of trading strategies that you can apply when you finally start trading.|NEU|finance|http://www.creditcardsaccount.com/tag/w/page/2/
A menu will appear asking you to either select a new vehicle or drive the AI course.|NEU|natural language technology|http://teamrcg.info/trackmaking/4x4_Evolution_Editor.htm
A message dialog will appear telling you that no objects are selected and asks you whether or not you would like to import an AI or EPS file.|NEU|natural language technology|http://erain.com/esupport/index.php?_a=knowledgebase&_j=rate&_i=66&type=yes
A microphone and videocamera would be embedded in the device, for use with speech recognition and iChat.|NEU|social media|http://macosx.com/forums/archive/t-50940.html
A minimum of 10 cores will be needed to study the relationship between the nondestructive test data and the HMA density, asphalt content, and gradation.|NEU|research computing|http://trb.org/main/Public/Newsletter100202.aspx
A moderate application of phosphorus and sulfur at planting based on soil test data, will provide for good growth.|POS|search engine|http://www.outsidepride.com/seed/pasture-seed/legumes/birdsfoot-trefoil-legume-seed.html
A modified version of this will be published in the Newsletter on Philosophy and Computers of the American Philosophical Association (APA), along with a paper on using AI to teach philosophy.|NEU|machine human interface|http://www.cs.bham.ac.uk/~axs/my-doings.html
A moratorium should be declared among AI researchers on all philosophical speculation.|NEU|machine human interface|http://www.therxguy.com/detail/0143037889
A more complex model will always fit the training data better, but may not represent the true underlying model and thus perform poorly on new data.|NEU|machine human interface|http://futuresmag.com/Issues/2009/September2009/Pages/Algorithm-bias-A-statistical-review.aspx?channel=7
A more scientific approach would be to train patients to a point of substantial symptom reduction and then through an analysis of the training data determine the necessary criteria for training, for particular symptoms.|NEU|search engine|http://incontinet.com/ghost2.htm
A movie would have to have a much stronger conceptual foundation to pull off the balancing act that AI attempts.|NEU|machine human interface|http://challengingdestiny.com/reviews/movies2001summer.htm
A much smarter than human AI is basically impossible to contain or control; if it wants to it will take over the world, and then it will achieve whatever ends it has.|NEU|machine human interface|http://www.overcomingbias.com/2008/11
A national security data mining program is going to find some percentage of real attacks, and some percentage of false alarms.|NEG|machine human interface|http://www.schneier.com/crypto-gram-0603.html
A neural network (NN) material model represents the constitutive model of the soil behavior and will be calibrated using laboratory test and observed field behavior of excavations.|NEU|machine human interface|http://gcivilg.com/cat-10.aspx
A neural network model that simulates the interplay of hippocampal and prefrontal memory in typically developing children will first be created.|NEU|machine human interface|http://fraxa.org/ra_Johnson-Glenberg.aspx
A neural network will only output when presented with input.|NEU|machine human interface|http://heatonresearch.com/content/non-mathematical-introduction-using-neural-networks
A neural network with 26 output neurons and 35 input neurons would have a total of 910 connection weights.|NEU|machine human interface|http://heatonresearch.com/articles/7/page3.html
A new approach to robotics and artificial intelligence (AI) could lead to a revolution in the field by shifting the focus from what a thing is to how it can be used.|POS|machine human interface|http://www.amigura.co.uk/news/science/science_daily/2-22-2008-04.html
A new board will be created - 'Concept Discussion' in the AI category.|NEU|research computing|http://aidreams.co.uk/forum/index.php?topic=3611.new
A new bug has been discovered which will make the game crash whenever the AI don't have enough riders to be at the races they have registered for.|NEG|gaming|http://pcmdaily.com/news.php?readmore=144
A new co-op feature allows for more satisfying game-play than before when playing with other people, as you will form alliances against the AI, or other opponents.|POS|gaming|http://www.civfanatics.com/civ4/info
A new generation of robotic scientists now claim that we will have robots and AI (artificial intelligent computers) that will be comparable to humans in only 20 years.|NEU|machine human interface|http://computerboom.blogspot.com/2008_02_01_archive.html
A new graphic engine and improved AI: A brand-new graphic engine will let gamers experience the beauty of their kingdom in a never-seen-before level of detail and more than a dozen AI profiles, each with unique behaviors, will add enhanced variety to the game like never before.|POS|gaming|http://everydayshopping4u.co.uk/the-settlers-7-paths-to-a-kingdom/
A new group known as the Partnership for Advanced Computing in Europe (Prace) has brought together representatives from EC member states, and will serve as a base for researchers that need supercomputer power but do not have the necessary resources.|NEU|research computing|http://agonist.org/topic/european_union
A new method called deep learning therapy (DLT) is being tried.|NEU|machine human interface|http://eliteosr.com/Injuries-Conditions/Lower-Back/Research-Articles/Update-on-the-Mechanisms-of-Chronic-Pain/a~742/article.html
A new supercomputer rating system will be released at Supercomputing Conference 2010 on Nov.|NEU|machine human interface|http://insidealink.com/?65286562687c687873706e6a54484c44=9
A new supercomputer rating system will be released by an international team led by Sandia National Laboratories at the Supercomputing .|NEU|machine human interface|http://inethunt.com/?65286562687c687873706e6a54484c44=7
A new supercomputer rating system will be released by an international team led by Sandia National Laboratories at the Supercomputing Conference 2010 in New Orleans on Nov.|NEU|machine human interface|http://www.sciencedaily.com/releases/2010/11/101115122720.htm
A new supercomputer rating system will be released by an international team led by Sandia National Laboratories at the Supercomputing Conference 2010 in New Orleans on Wednesday Nov.|NEU|machine human interface|http://nukz.net/(S(svq5us45jfdiuhm001s4ph45))/kurzweilai.aspx
A nice addition to configuring voice recognition is that you will also find that this language bar will be present in other compatible applications such as Internet Explorer.|POS|natural language technology|http://www.z-articles.com/computers-and-technology/speech-recognition-software.html
A nice feature is that every time you will play this game, the artificial intelligence that controls the game play will randomize all hundreds of items in different places.|POS|gaming|http://bindapple.com/2009/09/page/2/
A nostalgic artificial intelligence of the future will appreciate the early effort.|POS|machine human interface|http://x-entertainment.com/updates/2003/05/26/more-80s-commercials-added/
