statement|future|source
It is here that we must see the necessary function of the United Nations to exercise moral leadership among the organizations mankind has set up to bring to reality and give concrete form to its aspirations in rational institutions which will ensure the well-being and progress of all the peoples of the world.|yes|UN General Debates Corpus
So long as they fail to do that they will continue to assume a particularly significant responsibility for the prolongation of this tragic situation.|yes|UN General Debates Corpus
That is why it is already high time to address an urgent appeal to all peoples and men of goodwill to join their energies and bend all their will towards the achievement of justice and peace in the world.|yes|UN General Debates Corpus
They have also agreed that in Jammu and Kashmir the entire line of control as it existed at the time of ceasefire on 17 December 1971 will be respected by both sides.|yes|UN General Debates Corpus
Sadly, there have been so many recent disasters in which innocent lives have been lost that time does not permit me to mention them all.|no|UN General Debates Corpus
All human life is precious, but the recent terrorist atrocity committed against schoolchildren in Beslan, Russia, was particularly vile.|no|UN General Debates Corpus
The world must speak out with one voice in utter contempt of those who were responsible.|no|UN General Debates Corpus
As if what I have just mentioned were not challenging enough, we also now know that the global community faces a wide variety of complex tasks in protecting the planet from environmental catastrophe.|no|UN General Debates Corpus
During the past 10 years, we have seen progress in implementing the Programme of Action, with the close involvement and support of the Secretariat.|no|UN General Debates Corpus
3  Naturally, over the past 10 years, we have also seen the emergence of new challenges and issues that were not originally addressed.|no|UN General Debates Corpus
For more than a decade now, we have been vocal in this body and elsewhere on virtually every aspect of climate change.|no|UN General Debates Corpus
In that context, in order to demonstrate our spirit of cooperation on these issues, I am pleased to announce my Government’s interest in submitting its candidacy for a non-permanent seat on the Security Council so as to make our accumulated experience available to this Organization.|no|UN General Debates Corpus
In the approximately 100 days that we have been in office, we have undertaken important health reforms by extending medical coverage to the age of 12 for the children of workers who contribute to Salvadoran social security and by granting emergency paediatric services to almost 400,000 boys and girls.|no|UN General Debates Corpus
That is why we were pleased by the decision taken by the Government of Spain to provide assistance for primary education.|no|UN General Debates Corpus
The flow of emigration was intensified by the war, and today virtually one third of our population lives abroad.|no|UN General Debates Corpus
Resolution 2758 (XXVI) of 1971 did not resolve the issue of the representation of the Taiwanese people in the United Nations.|no|UN General Debates Corpus
For many years, we have been actively involved in those processes, including through the Czech presidency of the fifty-seventh session of the General Assembly.|no|UN General Debates Corpus
There was not enough commitment to act within the boundaries of Security Council resolutions.|no|UN General Debates Corpus
Some nations resorted to the use of force, which was not in accordance with international law.|no|UN General Debates Corpus
The recent barbaric and inhuman massacre of hostages at the school in Beslan, Russia, its scale and the manner in which it was committed show that terrorism has become more brutal than ever and that it is spreading to almost every corner of the world and sparing no nation.|no|UN General Debates Corpus
Last year, for example, military expenditures by rich countries amounted to more than $700 billion, which was 10 times higher than the total amount of their official development assistance for developing nations.|no|UN General Debates Corpus
Encouraging results have been recorded.|no|UN General Debates Corpus
Increasingly, the international community is faced with conflicts within States, the painful manifestations of which have been seen in conflicts in the Middle East, Africa, the North Caucasus and elsewhere.|no|UN General Debates Corpus
Earlier, in Spain and Turkey and, most recently, in the Russian Federation, we have seen how terrorism — the scourge of the twenty-first century — indiscriminately strikes the innocent, including children.|no|UN General Debates Corpus
We share the concerns expressed in this respect by many States, in particular by the countries sponsoring the world leaders’ New York Declaration on the Action against Hunger and Poverty, which was adopted on 20 September.|no|UN General Debates Corpus
The millennium year was a time of great hope, reflected in the outcome of the Millennium Summit.|no|UN General Debates Corpus
But those who either assert or aspire to positions of world leadership - and there is no shortage of candidates - bear a particular responsibility to act in the global interest.|no|UN General Debates Corpus
Presently, 40 per cent of conflicts that appear to have been resolved break out again within five years.|no|UN General Debates Corpus
I am pleased to state that during Irelandís recent presidency of the European Union, important progress was achieved in implementing the Joint Declaration on United Nations-European Union Cooperation in Crisis Management.|no|UN General Debates Corpus
The efforts of the African Union and the Economic Community of West African States in crisis management have been particularly valuable and deserve support.|no|UN General Debates Corpus
When the depredations of the ruthless militias were unleashed upon them, they looked in vain for the even-handed protection of their Government.|no|UN General Debates Corpus
The Irish people have been greatly moved by the suffering in Darfur and have been generous in providing additional, non-government financial support for the relief effort.|no|UN General Debates Corpus
I welcome the recent adoption by the Security Council of resolution 1564 (2004), although it is a matter of regret and bewilderment to many that the resolution did not receive the unanimous backing of Council members.|no|UN General Debates Corpus
I urge the authorities in the Sudan to fulfil, with the utmost urgency, the obligations that have been imposed on them by the Security Council.|no|UN General Debates Corpus
They reinforce, if reinforcement were needed, the absolute duty of Member States of the United Nations to cooperate effectively in identifying and bringing to justice those who plan, direct, finance, facilitate and carry out terrorist acts.|no|UN General Debates Corpus
Those were the issues that were addressed in three days of intensive talks that were convened by both Governments in Leeds Castle in England last week.|no|UN General Debates Corpus
Substantial progress was made in the talks regarding the issues of paramilitarism and arms decommissioning.|no|UN General Debates Corpus
In addition, significant progress was made with regard to the policing issue and the devolution of those powers to devolved institutions in Northern Ireland.|no|UN General Debates Corpus
Regrettably, it was not possible to achieve agreement among the parties themselves on the question of the operation of the political institutions of the Agreement.|no|UN General Debates Corpus
It was noteworthy in that regard that the leader of the Democratic Unionist Party, Mr. Ian Paisley, made the point immediately after the talks that a golden opportunity has been available to realize a stable and entirely peaceful future.|no|UN General Debates Corpus
Under those circumstances, it is worth recalling the Five Principles of Peaceful Coexistence, which were enunciated 50 years ago by Myanmar, along with China and India, to provide the basic principles for inter-State relations.|no|UN General Debates Corpus
The Principles were subsequently adopted by Asian and African leaders in the Bandung Declaration of 1955.|no|UN General Debates Corpus
Founded on the premise of the essential unity of humankind, the Five Principles remain as relevant and valid today as on the day they were proclaimed.|no|UN General Debates Corpus
More recently, we have seen wanton acts of terrorism in diverse parts of the world, from Beslan to Jakarta to Madrid.|no|UN General Debates Corpus
A preventive programme was in place in my country even before Security Council resolutions were adopted on this theme.|no|UN General Debates Corpus
The representative was afforded the opportunity to visit the army recruitment centre near Yangon, and subsequently the army recruitment centre in Mandalay together with the United Nations Resident Coordinator.|no|UN General Debates Corpus
Peace and stability have been restored.|no|UN General Debates Corpus
Noteworthy advances have been made in the health and education sectors.|no|UN General Debates Corpus
In the past year alone, 22 new hospitals were commissioned.|no|UN General Debates Corpus
The first and most crucial step of the road map, the reconvening of the National Convention, was taken on 17 May of this year.|no|UN General Debates Corpus
It is more inclusive than the previous Convention, which was attended by only about 700 delegates.|no|UN General Debates Corpus
In the previous Convention, representatives of three or four armed groups which had just returned to the legal fold were present as observers.|no|UN General Debates Corpus
During the first session, the sensitive issue of power-sharing between the central Government and the states and regions was the main focus of discussion.|no|UN General Debates Corpus
Because of the complex and sensitive nature of the deliberations, discussions were time- consuming and sometimes intense.|no|UN General Debates Corpus
The common desire to ensure the success of the seven-step road map was evident.|no|UN General Debates Corpus
The United Nations was conceived as a way of preventing war and restoring peace.|no|UN General Debates Corpus
For some years, from this rostrum, heads of State and Government have been urging the need for reform, and the Secretary-General has welcomed that initiative.|no|UN General Debates Corpus
That was the subject of a 20 September meeting of more than 60 world leaders, who were resolved to tackle it with all the tools available to them.|no|UN General Debates Corpus
The “lost decade” of the 1980s was the result of exactly the same problems, although there was also an international economic crisis and an absence of democratic 28  legitimacy in most of the continent at that time.|no|UN General Debates Corpus
Democracy, as a system of government, ended up being conflated with the limitations of individuals, while in truth the problem was that Governments were unable to produce effective responses.|no|UN General Debates Corpus
Direct help to Governments, in the form of loans or grants, has not been enough or sufficiently effective to solve the problems of poverty or the lack of growth that the aid was supposed to correct.|no|UN General Debates Corpus
Stopping payments, restructuring, adjustments — that is a road that we have been down before, and our region was the loser.|no|UN General Debates Corpus
It is shameful that in the technological age, when so many things have been invented that were unimaginable just 10 years ago, that we have not been able to invent a way for millions of people in the world to escape from the subhuman conditions to which poverty condemns them.|no|UN General Debates Corpus
That region’s macabre statistics remind us — as if that were still necessary — of the urgent need to bring the parties to the negotiating table on the basis of the road map, which the Security Council itself endorsed through its resolution 1515 (2003).|no|UN General Debates Corpus
On 24 July, the building of democratic structures was completed through municipal and local elections, to the great satisfaction of everyone.|no|UN General Debates Corpus
The restored status of the State has made it possible — thanks to the personal intervention of President Tandja Mamadou — to quickly overcome the resistance of the remaining few who were still opposed to the expanded polio vaccination programme.|no|UN General Debates Corpus
As we have no other choice but to cure — since we have been unable to prevent — we have to considerably increase United Nations capabilities in the areas of peacekeeping and management of post-conflict situations.|no|UN General Debates Corpus
We must, however, remember that in prosecuting that struggle it is imperative that we preserve the democratic freedoms that have been so dearly won by our citizens, and the open society, which is the essence of democracy.|no|UN General Debates Corpus
10  We have all acknowledged the need for reform, and for more than a decade have been involved in a multidimensional discussion in order to bring the institutional architecture of the United Nations system and its operating methods up to date in accordance with the changing realities the elements of the system were devised to confront.|no|UN General Debates Corpus
In developing countries, in particular the least developed countries and especially Benin, where many efforts have been made to reinforce democracy, strengthen the decentralization process and fight poverty, communities and non-governmental organizations must be strengthened to decentralize management of the environment and thus promote development at the local level.|no|UN General Debates Corpus
Encouraging efforts have been made in the areas of official development assistance, managing the foreign debt of heavily indebted countries and multinational trade negotiations — in particular those undertaken in the context of the New Partnership for Africa’s Development.|no|UN General Debates Corpus
The general framework of negotiations on that document was based on the agreement of developed countries to bring domestic subsidies for their farmers to a level 12  that permits farmers in the least developed countries to live off the fruits of their labours.|no|UN General Debates Corpus
This was only the last of a whole series of heinous attacks in all regions of the world targeted against innocents.|no|UN General Debates Corpus
I was happy to meet with the members of the Panel when it held its meeting in Austria earlier this year.|no|UN General Debates Corpus
This was the very idea of the founders of the United Nations.|no|UN General Debates Corpus
As a result, international interests have become interwoven and the distinction between local and international questions has almost vanished in light of the spread of globalization.|no|UN General Debates Corpus
People need the United Nations now more than they did a half a century ago.|no|UN General Debates Corpus
As reform and modernization of the United Nations have become a goal for the majority of its Members, by the same token, leaders and political experts in many parts of the world, including the Arab world, have become aware that reform and modernization are important issues in their societies in order to address the demands for change and the movement of history, and that these issues must be addressed with clear-sightedness and wisdom, to meet 25  the hopes and aspirations of the new generation for progress and democratization.|no|UN General Debates Corpus
Barbados was particularly pleased at the election of a representative of a small island Caribbean State to that high office in the United Nations, and President Hunte’s outstanding performance was testimony to the critical and effective role that small islands can play in the multilateral process.|no|UN General Debates Corpus
His guidance of the work to revitalize the Assembly was particularly noteworthy.|no|UN General Debates Corpus
In addition to the impact of natural disasters to which I have already referred, the trans-shipment of nuclear waste through the Caribbean Sea, global warming and water pollution all threaten our very existence as a nation.|no|UN General Debates Corpus
As the first landfall upon crossing the Atlantic Ocean, Barbados was the recipient of a large number of African slaves, leading to a major imprint of African cultures on the formation of the Barbadian society.|no|UN General Debates Corpus
However, the achievements of the United Nations have been undermined by increasingly complex international developments.|no|UN General Debates Corpus
It was the year in which the Iraq war brought the debate on the United Nations role into sharper focus.|no|UN General Debates Corpus
This was highlighted in the Sana’a Declaration on Democracy, Human Rights and the Role of the International Criminal Court, adopted earlier this year at the Sana’a Intergovernmental Regional Conference.|no|UN General Debates Corpus
The Forum was organized in response to reform initiatives that came from the Governments and peoples of the region.|no|UN General Debates Corpus
That meeting was also attended by the head of the African Union Commission and the Foreign Minister of Nigeria representing President Obasanjo of Nigeria — the current Chairman of the African Union.|no|UN General Debates Corpus
They also rejected all attempts to create a rift in Arab-African relations and stressed that there was no hard evidence of genocide.|no|UN General Debates Corpus
The past year was again marked by international terrorism, which claimed countless innocent lives.|no|UN General Debates Corpus
The United Arab Emirates reiterates its strong condemnation of all acts of terrorism in the Gulf region, especially in the fraternal Kingdom of Saudi Arabia and other areas where a number of residential areas were targets of horrific terrorist attacks.|no|UN General Debates Corpus
Here, we look forward to the outcome of the recent visit of the Director General of the International Atomic Energy Agency (IAEA) to a number of countries in the region, which was aimed at convincing their Governments to relinquish the nuclear arsenals that pose a threat to neighbouring countries.|no|UN General Debates Corpus
Technical assistance and financial aid to the population of that long-suffering region have been sporadic.|no|UN General Debates Corpus
The people of the region were the unwitting victims of some 500 nuclear-weapons tests conducted in the heat of the global arms race.|no|UN General Debates Corpus
Denmark is a candidate for election to the Security Council during this session of the General Assembly.|no|UN General Debates Corpus
In the world of today, huge global disparities in resources have become apparent to everybody.|no|UN General Debates Corpus
We are now in the era of implementation of those human rights commitments that have been undertaken.|no|UN General Debates Corpus
In the past, 125 of us were subjected to the oppression of a few Powers that originally occupied less than 2 per cent of the globe.|no|UN General Debates Corpus
In 1820, the per capita income of the richest nation in the world was five times greater than that of the poorest one.|no|UN General Debates Corpus
The former subjects have become perpetual debtors in the international economic system.|no|UN General Debates Corpus
Today, in 54 countries, per capita income is lower than what it was 10 years ago; in 34 countries, life expectancy has decreased; and in 14 countries, a greater number of children are starving to death.|no|UN General Debates Corpus
Such organizations were created to provide solutions, but, by adopting excessive rigour, they themselves have sometimes become part of the problem.|no|UN General Debates Corpus
It was in this same spirit of contributing to the reduction of poverty that Brazil, India and South Africa established, last year, the India-Brazil-South Africa (IBSA) Fund.|no|UN General Debates Corpus
The bouts of instability in our region have been dealt with while strictly respecting our institutions.|no|UN General Debates Corpus
Coordination among countries from Africa, Asia and Latin America in the Group of 20 was decisive for keeping the Doha Round on the right track of trade liberalization with social justice.|no|UN General Debates Corpus
Once again this year, my country has been contributing to the Global Fund to fight AIDS, Tuberculosis and Malaria, which was created following the twenty-sixth special session of the General Assembly, the first to be devoted to a disease.|no|UN General Debates Corpus
We have been providing regular support for the activities of the Joint United Nations Programme on HIV/AIDS (UNAIDS) since its creation, and I am pleased to announce that the Principality has decided to strengthen its financial cooperation with the Programme.|no|UN General Debates Corpus
On a personal note, I have just completed my first six months as Prime Minister in the first term of the party that was elected to govern Antigua and Barbuda on 23 March of this year.|no|UN General Debates Corpus
Not surprisingly, small societies like those of the English-speaking Caribbean have become casualties, not beneficiaries, of globalization and of the new world economic order.|no|UN General Debates Corpus
The OECD offensive against what were termed “harmful tax jurisdictions”, manifestly discriminated against international financial centres in the Caribbean.|no|UN General Debates Corpus
Our responses to this challenge were responsible and effective.|no|UN General Debates Corpus
We have been blessed with the most desirable beaches in the world, and we welcome the world to share our beaches and our incomparable natural environment.|no|UN General Debates Corpus
Today two nations within the Caribbean region, Grenada and Haiti, have been devastated by natural disaster.|no|UN General Debates Corpus
Homes and crops have been destroyed, with floodwater lines on buildings measuring up to 10 feet high.|no|UN General Debates Corpus
We have been compelled to finance security infrastructure for which we had no provisions.|no|UN General Debates Corpus
To date, there have been no concessions afforded to the special needs of small States in our negotiations with the European Union, on the Free Trade Area of the Americas and with the World Trade Organization.|no|UN General Debates Corpus
In Liberia, there is hope since the transitional Government was established.|no|UN General Debates Corpus
Due to the Republika Srpska entityís failure to cooperate with the International Criminal Tribunal for the former Yugoslavia (ICTY), we have been unable to gain Partnership for Peace membership, although we meet all of the requirements.|no|UN General Debates Corpus
Many new central institutions have been set up, such as the Defence and Security Ministry, the intelligence service, the Bosnia and Herzegovina Joint Military Command and others.|no|UN General Debates Corpus
Since the Dayton Peace Accords were signed, not a single foreign soldier has been killed in Bosnia.|no|UN General Debates Corpus
Some public and political officials are trying to find an excuse for the war crimes, saying they were committed in the interest of vital ethnic protection.|no|UN General Debates Corpus
The outstanding issue of about 15,000 missing persons, whose bodies are spread among numerous mass graves throughout the country, 320 of which have been found so far in Bosnia, presents a big problem for my country.|no|UN General Debates Corpus
Therefore, we take this opportunity to confirm our intention of putting forth our candidature for the 2010-2011 term.|no|UN General Debates Corpus
That was made possible by an increased budgetary allocation to the sector, by debt relief, by increased aid channelled through our own budget and by local ownership and participation.|no|UN General Debates Corpus
Its declaration of responsibility for the massacres against innocent and unarmed refugees at Gatumba was the proverbial last straw for us in the region, so we took a stand and declared the FNL a terrorist group.|no|UN General Debates Corpus
When the Middle East road map was put forward in 2003, we supported it, believing that it addressed comprehensively the issue of the establishment of a viable Palestinian State living with the State of Israel, with recognized and secure borders between them.|no|UN General Debates Corpus
Many of us have been traumatized by terrorism, by the brutal acts of repression that are taking place in many parts of the world and by the tense situation and developments in Iraq.|no|UN General Debates Corpus
While we have seen many examples of State terrorism, terrorism has become essentially stateless and nebulous in nature, and is able to spread without regard to borders or nationalities.|no|UN General Debates Corpus
The critical needs and ills confronting mankind were identified at that Summit, and we committed to resolving them in various ways and according to a specific timetable.|no|UN General Debates Corpus
Despite this realization, however, development assistance programmes have become more selective, aimed at a small group of countries that are in some way qualified.|no|UN General Debates Corpus
The historic Millennium Summit of the United Nations, which brought together 189 nations in September 2000 and adopted the Millennium Declaration, was a clarion call for action to solve these problems and set forth the Millennium Development Goals with measurable goals and targets for combating them.|no|UN General Debates Corpus
It was, therefore, a very welcome and positive development when the General Assembly, in its resolution 57/7 of 4 November 2002, urged the international community to organize support for African countries within the framework of the principles, objectives and priorities of NEPAD.|no|UN General Debates Corpus
The concerns of developing countries have been reiterated in this Assembly over the years; we therefore urge our developed partners to act now.|no|UN General Debates Corpus
Unfortunately, despite the substantial measures taken by the Government in combating the scourge, Ghanaís efforts have been severely constrained by a lack of adequate resources required to prevent new infections, provide care and support for people, particularly women and children living with HIV/AIDS.|no|UN General Debates Corpus
My thanks and my congratulations also go to your predecessor and his team for their dedication and the enthusiasm with which they did a great deal of work — which was much appreciated by all — in a particularly tense environment marked by animated debates about the Iraqi crisis.|no|UN General Debates Corpus
The past year for Chad, as for many African countries, was a year of serious concerns regarding the armed conflicts raging everywhere — conflicts that took peaceful populations hostage, destabilized our States and continued to jeopardize the joint efforts being made to establish democratic institutions and promote socio-economic progress.|no|UN General Debates Corpus
In addition, the task of adapting our legislation to national and international realities was imposed on our national representation meeting, which made a commitment on 26 May 2004, to a procedure aimed at amending some provisions of the Fundamental Law adopted by referendum on 31 March 1996.|no|UN General Debates Corpus
In this context of globalizing economies, in which the rules of the game are constantly being subverted, in particular by the practice of the largest States of subsidizing their own agricultural products to the detriment of the poorer countries, all efforts to resolve these developmental problems have been inconclusive.|no|UN General Debates Corpus
With the exception of oil resources, we are witnessing an ongoing decline in export earnings due to fluctuating commodity prices on international markets, and losses, caused principally by the policy of providing subsidies, continue to grow; yet States have been slow to help the least developed countries by meeting the commitments they made at successive development conferences.|no|UN General Debates Corpus
Here, let me speak of the cotton initiative, whose purpose is to obtain compensation for harm caused by subsidies that have been detrimental to the economies of cotton-producing African countries.|no|UN General Debates Corpus
As if that were not enough, in addition to the inherent difficulties of the international economic environment, those very farmers are today confronting a threat of an entirely different scope: the invasions of locusts.|no|UN General Debates Corpus
That flow has consequences for our people and for the environment, whose ecosystems were already in a precarious state of fragility caused by the aridity of the soil and the climate.|no|UN General Debates Corpus
My country served both as a non- permanent member of the Security Council and, simultaneously, as President of the fifty-fourth session of the General Assembly, whose task, among others, was to prepare for the Millennium Summit and the adoption of the historic Millennium Declaration.|no|UN General Debates Corpus
I was thus called upon to co-chair that Summit together with my Finnish counterpart, Her Excellency Ms. Tarja Halonen.|no|UN General Debates Corpus
At the end of the meeting, a declaration was adopted, which Namibia fully supports.|no|UN General Debates Corpus
That was my first humble but determined emergence on the diplomatic scene.|no|UN General Debates Corpus
Namibiaís protracted liberation struggle was bloody and bitter.|no|UN General Debates Corpus
It caused the untold suffering and sacrifices of our people inside the country and those of us who were forced to spend many decades in exile.|no|UN General Debates Corpus
8  Namibia became principally the legal responsibility of the United Nations, and in that way a unique partnership was forged for a common cause between the world Organization and the struggling Namibian people, which endured for 30 daunting and eventful years.|no|UN General Debates Corpus
I wish to recall with appreciation that my initial access to the United Nations was made possible by non-governmental organizations, church groups, a handful of United Nations staff members and concerned diplomats from friendly countries.|no|UN General Debates Corpus
Since the days of the Organization of African Unity, the United Nations and Africa have been true partners.|no|UN General Debates Corpus
The African Union’s Extraordinary Summit on Employment and Poverty Alleviation in Africa, held on 8 and 9 September in Ouagadougou, Burkina Faso, was also intended to address those concerns.|no|UN General Debates Corpus
In our subregion of Central Africa, we were pleased with the positive outcome on 12 July 2004 of the national forum held in Sao Tome and Principe, scheduled under the Memorandum of Understanding, dated 23 July 2003, and concluded under the auspices of the Economic Community of Central African States, the Community of Portuguese-Speaking Countries, the African Union, the United States of America and Nigeria.|no|UN General Debates Corpus
Similarly, we expect implementation of the conclusions of the multifaceted mission that was dispatched to Central Africa in June 2003 by the Secretary-General.|no|UN General Debates Corpus
We therefore welcome the reform process undertaken by the Secretary-General and are truly hopeful regarding the recommendations of the high- level panel which was set up to examine the principle threats and challenges to collective peace and security and to make proposals with respect to reform of the international system.|no|UN General Debates Corpus
But even as we founded the United Nations we recognized that sovereignty was a trust in the hands of a nationís government: there to be respected, not abused, from either without or within.|no|UN General Debates Corpus
The conventions were designed to protect citizens from abuse by States, not by terrorists.|no|UN General Debates Corpus
I am proud that the United Kingdom and so many other nations have offered that protection when and where it was required.|no|UN General Debates Corpus
The mistakes committed during the world war on terror, regardless of whether they were committed in good faith or in bad faith, have worked as a call to promote and practice terrorism, which has been embraced by an enemy whose whereabouts we do not know.|no|UN General Debates Corpus
The peoples of the world were optimistic about the great strides that were made in science and technology and the collective and individual achievements that spanned all fields of human endeavour in the past two decades.|no|UN General Debates Corpus
Today, a wave of pessimism has taken over the world because of extremist and intolerant policies advanced by some strategic think-tanks that were determined to find a new enemy, under any pretext, after the fall of the Soviet Union.|no|UN General Debates Corpus
It was hoping to achieve the following: first, to incite the Americans in particular and the West in general to wage endless wars in the Middle East, in order to underscore the old-new theory of Israel that the Arab- Israeli conflict is not the core of the problems of the region.|no|UN General Debates Corpus
They ignored the fact that the Iraqis refused to adopt the new flag that was designed for their country after the war simply because its colours somehow bear resemblance to the Israeli flag.|no|UN General Debates Corpus
That was the basis of Syria’s serious engagement in the peace negotiations for over a decade.|no|UN General Debates Corpus
It was rather disparaging that the Foreign Minister of Israel used this rostrum of international legitimacy to ignore the facts and selectively refer to a resolution recently adopted by the Security Council on Lebanon.|no|UN General Debates Corpus
Its potential has been wasted and its material and intellectual resources squandered, thus preventing it from attaining its development goals and advancing its capacities.|no|UN General Debates Corpus
Syria was among the first countries of the region to call for declaring the Middle East region a zone free of all weapons of mass destruction, in particular nuclear weapons.|no|UN General Debates Corpus
The road map announced on 30 April 2003 was welcomed by the Arab countries but has yet to be implemented.|no|UN General Debates Corpus
It was a milestone in the development of the situation in Iraq.|no|UN General Debates Corpus
We feel that certain successes have been achieved through the adoption of political dialogue, and that it is essential to Iraq to expand that dialogue.|no|UN General Debates Corpus
One of the most horrific of such acts was the hostage-taking in a school in Beslan in North Ossetia in the Russian Federation.|no|UN General Debates Corpus
However, the results of the new developments have been an amalgamation of democracy and dictatorship, of human rights and enslavement, of great prosperity and extreme poverty, of the provision of advanced health care side by side with fatal contagious diseases, of free trade and world trade monopoly, and of a rise in the price of industrial products and a decline in the prices of the raw materials required to maintain their production.|no|UN General Debates Corpus
The High-level Panel on Threats, Challenges and Change was established in the context of an initiative by the Secretary-General to seek ways of reforming the Organization, and in particular of expanding the permanent membership of the Security Council.|no|UN General Debates Corpus
That is why France committed itself here to the fight, and did so again recently by supporting the strengthening of the Counter-Terrorism Committee.|no|UN General Debates Corpus
The tragedy of 11 September, which I refer to with feeling here in New York City, was an attack on us all.|no|UN General Debates Corpus
France, as everyone knows, did not approve of the conditions in which the conflict was unleashed.|no|UN General Debates Corpus
The most recent inter- Arab initiative was launched by Arab private sector 12  and grass-roots civil organizations, with active Jordanian participation, in Amman on the margin of the World Economic Forum, which was convened at the Dead Sea last May.|no|UN General Debates Corpus
Of special significance in this regard is the aid needed and expected from the Group of Eight industrial Powers to Jordan’s plans and initiatives, which have been based on positive, realistic and sustainable goals.|no|UN General Debates Corpus
In that regard, the Court’s opinion was both clear and specific on the following points.|no|UN General Debates Corpus
Furthermore, Israel must cease its violations relating to the construction of the wall by, inter alia, dismantling those portions of it erected in the occupied Palestinian territories, reinstating the rights of the owners whose lands were lost and compensating those who incurred losses as a result of Israel’s illegal actions.|no|UN General Debates Corpus
The Treaty on the Non-proliferation of Nuclear Weapons (NPT) and the Comprehensive Nuclear-Test- Ban Treaty (CTBT) were designed as an essential first step towards a world free from the danger that such weapons pose.|no|UN General Debates Corpus
The creation of the African Union and the New Partnership for Africa’s Development (NEPAD), and the great strides that have been taken in the past two years, are a clear indication that we are moving in the right direction.|no|UN General Debates Corpus
In our view, the leaders were correct to make the related topics of peace, security, development and poverty eradication priorities to be addressed, because future world stability depends on the ability of national Governments to increase the momentum for economic development and their capacity to improve the delivery of job creation and essential services such as health and education.|no|UN General Debates Corpus
Developing countries have been facing special difficulties in responding to the challenges brought about by globalization.|no|UN General Debates Corpus
For several weeks now, our country and others of the North and West African regions, have been stricken by an unprecedented locust infestation.|no|UN General Debates Corpus
In the past year we have seen crises and conflicts multiply throughout the world.|no|UN General Debates Corpus
This was especially evident during the Malian presidency of the Community of Sahelo-Saharan States.|no|UN General Debates Corpus
We have seen this phenomenon on all continents, making it abundantly clear that terrorism has neither homeland nor religion.|no|UN General Debates Corpus
It is true that recently the Organization’s capacity and credibility have been seriously undermined.|no|UN General Debates Corpus
The world has changed a great deal since our hopes and aspirations were enshrined in the Charter almost 60 years ago.|no|UN General Debates Corpus
With those words, the people were placed at the heart of our United Nations.|no|UN General Debates Corpus
