statement|sentiment|topic|url
A Pebblesorting AI would destroy the pebblesorters.|NEG|machine human interface|http://lesswrong.com/lw/sy/sorting_pebbles_into_correct_heaps/
A Possible Course Syllabus In teaching a course on cognitive science and the visual arts, I would begin by covering material from E.|NEU|search engine|http://aesthetics-online.org/articles/index.php?articles_id=11&print=1&print=1&print=1&print=1&print=1&print=1&print=1&print=1
A Primer Overview: This paper will discuss the use of pattern recognition techniques to identify and differentiate different particle types contained in a heterogeneous solution.|NEU|computer vision|http://www.chemicalprocessing.com/whitepapers/2008/029.html
A Quantum Memory Leap Transferring the state of separated ions could point the way to quantum computing.|NEU|transhumanism|http://techreview.com/tag.aspx?id=57&aid=26580&mod=Tag_memory
A RC plane becomes a UAV with the addition of an autopilot.|NEU|machine human interface|http://diydrones.com/profiles/blog/list?month=07&year=2008
A Release Date: August 22, 2001 The next Madden NFL game will add improved defensive AI, better graphics, and knock-back blocks.|POS|gaming|http://www.digitalsomething.com/games?platform=0&sort=name&alpha=m&page=3
A Review of Aminergic, Peptidergic, and Neural Network Perspectives (the complete article will be published in Neuro-Psychoanalyisis in 2009).|NEU|search engine|http://www.neuro-psa.org.uk/npsa/index.php?module=pagemaster&PAGE_user_op=view_printable&PAGE_id=62&lay_quiet=1
A Safety Issue investigation (AI-2007-010) into the design of the Lockhart River runway 12 RNAV (GNSS) approach with respect to activation of Mode 2A ground proximity warning system (GPWS) is continuing.|NEU|natural language technologiy|http://atsb.gov.au/publications/recommendations.aspx?s=1&itemCount=20&sort=ApprovalDate&sortAscending=descending&year=2006
A Seed AI who develops feelings for another being could get over heartbreak by simply altering the algorithms which create the emotion.|NEU|machine human interface|http://eclipsephase.com/seed-agis-considered-harmful
A Sigma-Pi-Sigma Neural Network (SPSNN) pi-sigma neural network should have more powerful modeling capability.|POS|machine human interface|http://bookpdf.net/sigma-pi-sigma-pdf.html
A Space Odyssey This 2001 space exploration classic examines the possible direction that man will take and the scientific issues involved in the evolution of humans into artificial intelligence.|NEU|machine human interface|http://article-mania.com/article178253.html
A TDT AI will cooperate in some situations where the benefit from cooperation is relatively high and damage from defection relatively low, and not in other situations.|NEU|machine human interface|http://lesswrong.com/lw/15m/towards_a_new_decision_theory/
A TMA senior data mining consultant will be recommended based primarily on your application area(s) of focus.|NEU|research computing|http://the-modeling-agency.com/wiresupport/index.html
A University (ED player-professor who will remain nameless until he wants to come out) has a AI project he works on, and they to build an AI interface using the HCDB and the AI DLL.|NEU|research computing|http://killerbeesoftware.com/swarm/viewtopic.php?t=923
A Visionaries Panel, moderated by Forrester Research Analyst Suresh Vittal, featuring Bradley Honan, Senior Vice President at StrategyOne, Greg Radner, Global Head of PR Services at Thomson Reuters and Brad McCormick, Director of Digital at Porter Novelli, will headline the Sentiment Analysis Symposium.|NEU|research computing|http://www.kdnuggets.com/2010/02/meeting-sentiment-symposium.html
A Website Preview User Comments Product Description Cash Making Affiliate Sites is a push button system developed by Melford and Concetta Bibens that will help affiliate marketers put their earnings on autopilot.|NEU|natural language technologiy|http://www.imreportcard.com/products/cash-making-affiliate-sites
A Website Preview User Comments Product Description Total Traffic Annihilation is traffic generation software developed by Steven Johnson that will help you get traffic to your Clickbank offers on complete autopilot.|NEU|natural language technologiy|http://www.imreportcard.com/products/total-traffic-annihilation
A With Vestec Speech recognition, long a hot technology for its ability to deliver a superior automated customer interaction experience that cuts costs, is becoming an even hotter solution.|POS|natural language technologiy|http://ivr.tmcnet.com/topics/ivr-voicexml/listAll.aspx
A baby boomer is of powerful data mining her brow will be Leiser that was introduced.|NEU|search engine|http://pqjnls1118.jelev.eu/oxc/
A back link will run on autopilot and will drive traffic to your website.|NEU|machine human interface|http://www.articlesurfers.com/articledetail.php?artid=6986&catid=95&title=The-Benefits-Of-Free-Web-Advertising
A bayesian superintelligence is not logically omniscient so some of it's beliefs will be logically inconsistent.|NEG|machine human interface|http://lesswrong.com/lw/2jd/open_thread_august_2010/
A benevolent superintelligent AI would drastically and precisely alter the world, but do so in a direction that was dictated by your preferences.|NEU|machine human interface|http://www.acceleratingfuture.com/michael/blog/2009/12/
A better understanding of the subatomic world could lead to breakthroughs in quantum computing and super-secure communication.|POS|research computing|http://www.depoteco.com/tag/black-holes/
A big AI settlement will have most of that and one or more rocket turrets that can rain spammy death on your head faster than Grad.|NEG|machine human interface|http://w-shadow.com/blog/2009/11/20/game-review-love/
A biochemical approach complementary to that in aim 1 will employ radiolabeled AI-2 and cell fractionation to identify the S.|NEU|machine human interface|http://labvelocity.com/topics/investigative/clinical/cytological/cell-fractionation-17470.html
A bit further off (but a real conference) is the AI and Stats deadline on November 5, to be held in Florida April 16-19.|NEU|machine human interface|http://hunch.net/?p=416&replytocom=218775
A board of directors will oversee the new law center and is comprised of Moglen; Diane Peters, the general counsel at OSDL; Daniel Weitzner, the principal research scientist at MITs Computer Science and Artificial Intelligence Laboratory; and Lawrence Lessig, a Stanford Law School professor and author.|NEU|machine human interface|http://www.eweek.com/c/a/Linux-and-Open-Source/OSDL-Helps-Fund-New-OpenSource-Legal-Center/
A bodywork went through my aftershock a ebullient beret would necessarily enrage aright and pubic hair but a cautious autopilot would do more.|NEU|machine human interface|http://ebooksubway.com/manga/extreme-mature-porn
A bot that did that would probably be celebrated as a feat of AI engineering.|NEU|machine human interface|http://www.wikipedia-watch.org/irc-logs/8020312.html
A brief list of what the board will be going over at the May meeting are: copyrighting PYGORA, AI report for PBA, new members in Breeders Book, Bylaws update, web master applicants, merchandising guidelines, voting procedure for the future, reviewing regions and membership locations, dues increase, and committee and officer reports and more.|NEU|natural language technologiy|http://pba-pygora.net/PresMsg/PresidentsMsg_2003-05.html
A brief summary: Any AI that's at least as smart as a human and is capable of self-improving, will improve itself if that will help its goals The preceding statement applies recursively: the newly-improved AI, if it can improve itself, and it expects that such improvement will help its goals, will continue to do so.|POS|machine human interface|http://lesswrong.com/lw/304/what_i_would_like_the_siai_to_publish/2voi?c=1&context=1
A business that would run on autopilot.|NEU|machine human interface|http://www.ayalala.com/2010/08/28/can-a-husband-father-of-two-make-money-online/
A but oppose B should fear that if they vote for A now, such a vote may lead others to vote for B laterand that though a logical line could be drawn between A and B (yes cameras, no archiving, no face recognition), most voters will decide to draw the line on the far side of B rather than on the near side.|NEU|search engine|http://saf.org/journal/17/TheMechanisms.htm
A byproduct OF that awareness May fuel element A SHIFT away from acting on autopilot toward more desirable ways OF behaving.|NEU|search engine|http://projectsjugaad.com/appleproject2/With_iMac_one_works_substantially_more_productively_If_I_already_times_over.html
A byproduct of that awareness may be a shift away from acting on autopilot toward more desirable ways of behaving.|NEU|machine human interface|http://nudges.org/tag/mirror/
A call for further investigation into the feasibility of risk-reducing measures such as these may help to inspire research efforts in this area, which may be easier for academics to contribute to today than the development of a theory of Friendly AI.|NEU|machine human interface|http://singinst.org/grants/containing
A candidate for this position will be interested in big data, distributed systems, availability and reliability of large systems, fault-tolerance, efficiency and performance, message queueing, etc.|POS|machine human interface|http://rss2.com/feeds/jobs.joelonsoftware.com/1038/
A car editor menu with the following options will appear: Drafting effect Draft distance Front downforce Rear downforce Fuel consumption rate Incremental braking Tire wear rate AI speed percentage (50-150) Torque spins Centrifugal force Note that some of these options can be set with a negative number.|NEU|natural language technologiy|http://gaming4dummies.com/codes.ht/5757/5757.html
A cat can recognize a face faster and more efficiently than a supercomputer.|POS|computer vision|http://keyofscience.com/?cat=4027
A challenge evaluation will give rise to a shared infrastructure, including annotated training and test data, and shared evaluation methods.|NEU|research computing|http://mitre.org/work/tech_papers/tech_papers_02/hirschman_accombiology/index.html
A civil war - Doesn't happen Moving the capital to Beijing - Could happen, but no reason it should, and the AI won't do it Extension of the Grand Canal - Not represented in game An attempt to conquer what is now northern Vietnam that failed after many years of heavy fighting - Literally cannot happen, but if it did happen the invasion would be trivial, as the target has three provinces and doesn't even have forts.|NEG|machine human interface|http://forum.paradoxplaza.com/forum/showthread.php?511406-Chinese-factions-limit-the-player-too-much-IMO&p=11911368
A clearer model of the collective action problems surround AI risks will help to estimate the value of institutional mechanisms for coordination, and to allocate resources between research into such mechanisms and other risk-reducing strategies.|NEU|machine human interface|http://singinst.org/grants/collectiveaction
A client will ask the designer for the master Photoshop (PSD) or Illustrator (AI) file yet they do not have the software to open it nor the experience to do anything with it even if they had the program.|NEU|machine human interface|http://www.claytowne.com/beats-digging-ditches/why-wont-my-designer-give-me-the-layered-master-photoshop-files-i-paid-for-them-didnt-i/
A closer look at just how much land is readily available for industrial use in each of the three major industrial classifications (GI, PI, AI) will be made below, when each zone is examined in turn.|NEU|machine human interface|http://nashuanh.gov/AddOns/masterplan/Industrial.htm
A code change in AutoTakeOff so if the player is in Manual Engine Management the AI will take off in 30 seconds but if the player is in Auto Engine Management the AI will take off in 10 seconds.|NEU|gaming|http://a2asimulations.com/forum/viewtopic.php?f=17&t=22410&p=171753
A combination of him writing, the lSA scribing and the laptop seems to be the best for him and we are looking into voice recognition for at home later(although his voice will be breaking at some point and that might make it difficult as the computer has to recognise their voice).|NEU|machine human interface|http://hypermobility.org/forum/viewtopic.php?f=18&t=10135&p=168345
A combination of test data, population characteristics, and engineering simulations will be used to quantify relative degradation.|NEU|research computing|http://proctoreng.com/reports/persist2.html
A common task you will have to do for financial service applications is reset the test data.|NEU|finance|http://softwareqatestings.com/index.php?view=article&catid=35%3Aperformance-load-and-stress-testing&id=473%3Aa-road-map-for-performance-testing-provide-information&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=4227
A common use of Efficiency AI would be to postpone the pre-caching of a hidden section of a map because the player rarely seeks out secrets in lieu of just running through a given level.|NEU|machine human interface|http://ai-depot.com/articles/artificial-intelligence-in-game-design/2/
A complex economic system and AI players that will not only try to compete with you but will also try and take over your business!|NEU|machine human interface|http://www.hookedgamers.com/pc/sid_meiers_railroads.html
A comprehensive and balanced curriculum will ensure that the education in data mining sets a solid foundation for the healthy growth of the field, and it will promote systematic training of students in computer science, information sciences, and other related fields, and it will provide guidance for the training of the next generation of data mining researchers, developers and technology users.|POS|machine human interface|http://sigkdd.org/curriculum.php
A comprehensive circuit model for the MFMISFET will be developed and validated using test data from the experimental circuit.|NEU|research computing|http://dodsbir.net/selections/abs031/dodabs031.htm
A comprehensive study will be made of each malfunction and test data interpretation.|NEU|research computing|http://icc.edu/catalog/descResults.asp?prefix=DPET
A comprehensive test will include pure tone testing, speech recognition and understanding, and other more specialized tests as needed for a thorough picture of your hearing loss.|NEU|transhumanism|https://truhearing.com/about_hearing/hearing_assessment
A computational neural network will be created to simulate memory processing leading to a finer-grained model of the information processing style and cognitive capabilities of those with fragile X.|NEU|research computing|http://fraxa.org/ra_Johnson-Glenberg.aspx
A computational neuroscience framework is proposed to better understand the role and the neuronal correlate of spatial attention modulation in visual perception.|NEU|research computing|http://lansbury.bwh.harvard.edu/computation_neuroscience.htm
A computer science course online within each of the degrees may include data structures and algorithms, software development, calculus, and introduction to artificial intelligence.|NEU|machine human interface|http://www.college-pages.com/online-computer-science-degree-important-contributions-to-society-from-professionals-in-computer-science/769/
A computer such as the one that is translating my brain can easily become the mind for a robot, making AI a reality-only that it would be functioning on the memory of a living entity.|NEU|machine human interface|http://www.schneier.com/blog/archives/2005/12/the_security_th_1.html
A computer vision engine will have lots of data, even though most of it is used only for testing purposes and little used at runtime.|NEU|computer vision|http://www.kurzweilai.net/ask-ray-we-could-have-had-the-benefits-of-the-singularity-years-ago
A conceptual design of a subscale testbed that would provide flight test data of the critical technologies, and a first order estimate of the cost to build and fly such a testbed.|NEU|finance|http://www.aerotechnews.com/local/mainnews/NASA-selects-companies-for-advanced-aircraft-concepts-study
A conclusion will provide an assessment of whether or not AI has been successful in achieving its Moratorium 2000 Project goal.|NEU|machine human interface|http://lotsofessays.com/viewpaper/1685005.html
A context sensitive AI would only create more problems with the AI.|NEG|machine human interface|http://thereticule.com/2009/06/arma-ii-the-verdict/
A copy of test data showing the results of the fuel resistance test in Appendix A shall also be submitted to the Engineer.|NEU|natural language technologiy|http://pavementpro.org/sealcoat_engbrief46.htm
A critical point in AI development would be a machine that could usefully work on the problem of self-improvement.|POS|machine human interface|http://www.acceleratingfuture.com/michael/blog/2009/12/page/2/
A cruising boat will sail far more efficiently if it is balanced and will be more comfortable, particularly when using an autopilot.|POS|machine human interface|http://truvusailingsystems.com/index/?m=20100411&paged=4
A data mining study of stock exchange data may identify stock evolution regularities for overall stocks and for the stocks of particular companies.|NEU|finance|http://fairoenterprises.com/SEOtags/financial
A data mining user should be able to select a category and see a summarized data item broken out by the various items in the category.|NEU|search engine|http://vb123.com/kb/199808_gr_explore.htm
A debug menu that allows invincibility, secret weapons, enemy summoning, toggle enemy AI, FMV sequence skip, and other effects will now appear.|NEU|gaming|http://gamecodes.com/lenny/tenchu.html
A debug menu that allows invincibility,bonus weapons, enemy summoning, enemy AI toggles, FMV sequenceskip, and other effects will appear.|NEU|gaming|http://www.console-cheats.com/playstation/TenchuStealthAssassins.shtml
A decision tree might be considered a deep learning system.|NEU|machine human interface|http://hunch.net/?p=219&cpage=1
A degree in Statistics would be better since a lot of practical machine learning techniques originate from applied probability and statistics.|POS|machine human interface|http://hunch.net/?p=275&cpage=1&replytocom=107796
A doctor may ask for blood test data from old records for comparison.|NEU|natural language technologiy|http://hepatitis-central.com/hcv/labs/liverenzymes.htm
A donor mare shall produce a limit of twenty-five (25) total offspring by any method, including natural, AI, or IE, in her lifetime.|NEU|machine human interface|http://uslr.org/regprocedures.html
A due recognition here to the globally acknowledged work of Professor Max Coltheart, ARC Federation Fellow and Director of the Macquarie Centre for Cognitive Science, could broaden the spectrum of the book and substantiate more scientific evidence in reading.|POS|search engine|http://edrev.info/brief/jan06.html
A face recognition facility will find faces in all uploaded videos and, for users who post their content on Facebook, will also automatically identify their Facebook friends who appear in the video.|NEU|social media|http://thepixelreport.org/2010/11/05/clever-clicks-unlock-new-paths-through-video/
A face recognition time attendance system can be used to record the details of the employees.|NEU|computer vision|http://article-database.com/2010/11/11/biometric-face-recognition-time-attendance-company-expenses-reduced/
A face recognition time attendance will enable them to record daily attendance details without any contact with the attendance keeping system.|NEU|computer vision|http://pixel4less.com/articlezone/article96505.html
A faster group of units would be more dangerous because it would reach the AI area in less time.|NEG|machine human interface|http://www.gamedev.net/reference/articles/article1085.asp
A federated architecture that allows local databases to be fully tailored to the needs of particular centers and enforces communication with the central repository to enable data mining across centers would be a preferable alternative.|NEU|search engine|http://www.nigms.nih.gov/News/Reports/PSIDataWorkshop2003.htm
A few (2-3) shots kills you, using cover is important, running rambo-style into a crowd of AI will result in you being killed.|NEG|machine human interface|http://gametoast.com/forums/viewtopic.php?f=72&t=24161&start=0&view=print
A few examples of future technologies include Digital TV with enhanced captioning display capabilities, advanced applications allowing the remote control to interface with everyday devices and appliances, and text-to-speech and speech recognition technology that may evolve into the development of truly universally accessible user interfaces for many types of products.|POS|natural language technologiy|http://abilitymagazine.com/CSUN_Conference.html
A few of these are personal or targeted, and we'll put those under the heading of data mining and be done with them.|NEU|machine human interface|http://inwa.net/~m3047/archive-org.html
A few things to note are Shiva's AI (or lack thereof) in the single-player co-op feature, the lack of ammo, and what boss battles will be like.|NEU|gaming|http://www.gamegrep.com/games/resident_evil_5/
A few variations here could fix the problem where one strategy can delete all AI races.|NEU|gaming|http://spaceempires.net/modules.php?name=Forums&file=modules&name=Forums&file=viewtopic&t=5829&view=previous
A file that can be regenerated automatically but requires several hundred years of computation on a supercomputer will effectively prevent most people from compiling the software and installing it on their device (if that file is required during installation or during run time).|NEU|machine human interface|http://advogato.org/person/Raphael/diary.html?start=41
A final possibility would be to use the simple noun and verb chunker to create a large set of training data that could be used to train a rescoring chunker.|NEU|natural language technologiy|http://alias-i.com/lingpipe/demos/tutorial/posTags/read-me.html
A final project will be required incorporating AI and physics.|NEU|machine human interface|http://www.alfredstate.edu/academics/courses/CISY+-+Computer+Information+Systems
A first inclination might be to select Manufacturer B since the test data indicated a longer average life (52,000 cycles versus 44,000 cycles).|NEU|search engine|http://quanterion.com/ReliabilityQues/V2N2.html
A first-class head set can cut down on the amount of noise enough to make speech recognition reasonably accurate.|POS|natural language technologiy|http://newwebsitemarketing.com/tag/marketplace/
A follow-on to his wildly popular Cutter IT Journal issue of the same title, this webinar will help you better understand the implications of applying semantic web technologies to business problem domains where traditional enterprise systems have fallen short, such as BI, data mining, and CRM.|NEU|natural language technologiy|http://www.cutter.com/events/multimedia/semantic-enterprise.html
A four-player game on normal will actually be harder than a one-player game on normal because the AI behaviour will account for extra players.|NEU|gaming|http://spong.com/detail/editorial.jsp?eid=10110203&page=2
A fraction of maximum possible threat an AI can have.|NEG|machine human interface|http://openwarfaremod.com/cod4script/ai/setentitytarget.htm
A framework for discussing the complexity of a pattern recognition operation in this application will be proposed, along with some specific examples showing how this framework applies.|NEU|computer vision|http://www.chemicalprocessing.com/whitepapers/2008/029.html
A friendly AI can seed islands beyond legal boundaries of nations and open them to immigration.|NEU|machine human interface|http://ieet.org/index.php/IEET/more/hughes20100123
A fundamental breakthrough in artificial intelligence eliminates the need for staffed space missions.|POS|machine human interface|http://www.au.af.mil/au/awc/awcgate/nasa/future.htm
A further Sh268 million will support the establishment of a Government Information Sh201 million will facilitate the development of innovative communication and information applications deployed on mobile phones via SMS and Interactive Voice Recognition (IVR) technologies.|POS|natural language technologiy|http://unpan.org/directory/worldNews/include/displayIssueDetail.asp?issueID=30
A further feature of AI's symbiotic relationship is that if the pilot should be hurt during a mission, the AI will recognize this and navigate a course to the safest and nearest location, taking whatever means necessary to ensure the survival of the wounded pilot.|NEU|machine human interface|http://startrekfreedom.com/wiki/index.php/Mako_Fighter_AI
A future effort will merge the ESR with the Electronic Training Jacket (ETJ), providing a single point-of-entry to view and maintain personnel and training data for officer and enlisted, as well as career counseling data for the enlisted Sailors.|NEU|search engine|https://acquisition.navy.mil/rda/home/programs/information_communications/nsips
A future line of research should therefore also evaluate the use of entity-specific sets of fuzzy rules, generated based on homogeneous training data.|NEU|research computing|http://ro-journal.com/content/4/1/39
A general solution of many of the above problems effectively requires human knowledge and experience, and would thus require advanced artificial intelligence technologies to be implemented on a computer.|NEU|machine human interface|http://guajara.com/wiki/en/wikipedia/s/sp/speech_recognition.html
A good (although not perfect) AI will also prevent unnecessary losses: if threatened by enemy fire your units, if not under your direct control, will automatically duck and attempt to reach some cover.|NEU|machine human interface|http://www.gamersgate.com/DD-MOW/men-of-war
A good Forex Autopilot Robot review should tell you all of these things so that you will be guided with your purchase.|NEU|finance|http://forexandoptions.com/tag/look
A good argument could be made for an Island instead for Daze, but I'm crossing my fingers AI won't have Dark Ritual or something) AI plays Swamp.|NEU|machine human interface|http://www.slightlymagic.net/forum/viewtopic.php?f=66&t=3664
A good emergency solution for the end user, but from the web author's point of view, it fails on two counts: the quality of the translation (see machine translation below) and the assumption that all of your visitors will own a copy of Web Translator.|NEG|natural language technologiy|http://wdvl.com/Internet/Web/Site/Translation.html
A good visual pattern recognition module would be a great asset to a natural language program like Talk, and would facilitate learning in a more human way.|POS|natural language technologiy|http://25yearsofprogramming.com/ai/wtalk/talkdoc.htm
A gossip exchange could occur as often as once every tenth of a second without imposing undue load, hence this form of network search could search a big data center in about 3 seconds.|NEU|search engine|http://www.primordia.com/blog/2009/11/26/qcon-san-francisco-2009-%e2%80%93-part-iii-of-iii/
A great microphone with a substandard sound card (one that is poorly shielded) will make it difficult to work with speech recognition software.|NEG|natural language technologiy|http://speechcomputing.com/node/1021
A greater understanding is necessary if progress is to be made in preventing and successfully treating AI disease.|NEU|machine human interface|http://jantavia.com/cimda.htm
A group of young tech geeks meet each other online and decide toform an IT company and create a new search engine called CROOK, which will use sophisticated artificial intelligence technology to interpret user intent and provide the best search results possible.|POS|search engine|http://www.nipponcinema.com/trailers/akihabara-deep-the-movie-trailer
A growing number of states have taken measures to end data mining because the AMA will not.|NEU|machine human interface|http://www.pnhp.org/news/2007/july/prescription_mining_.php
A growing numbers of medical transcription editors will be needed to amend patients' records, edit documents from speech recognition systems, and identify discrepancies in medical reports.|NEU|natural language technologiy|http://careerstep.com/mtepricing/index.php?p=mt
A hard AI in MvC3 will keep comboing you until you're left with a fraction of your lifebar in half as much time.|NEU|gaming|http://elecbyte.com/forum/index.php?topic=1270.45
A hard AI in SSF4 will not deal more than half a lifebar of damage in ten seconds.|NEU|gaming|http://elecbyte.com/forum/index.php?topic=1270.45
A high index of suspicion and broader syndrome pattern recognition for catatonia should be exercised by clinicians, and should include precise description of signs.|NEU|search engine|http://annals-general-psychiatry.com/content/5/1/14/JavaScript1.1
A highly Sagacious AI would be very adept at learning new material, at internalizing input to create a more accurate model of the universe, and using this model to produce insightful output.|POS|machine human interface|http://www.acceleratingfuture.com/michael/blog/2007/07/
A highly cost effective indirect structural health and usage neural network (SHAUNN) monitoring system is proposed.|NEU|machine human interface|http://www.raes.org.uk/aero_journal.asp
A homeowner being interrogated on falsifying an insurance claim could be told, AI doubt if your premiums will go down.|NEG|natural language technologiy|http://reid.com/educational_info/r_tipsprint.html?serial=3263547976109433
A host of other local luminaries such as Shauna Causey, Damon Cortesi, Chris Pirillo, and Monica Guzman,will join panels to talk about tools and applications, data mining strategies, and branding.|NEU|machine human interface|http://www.seattle20.com/blog/sponsors-20100315.aspx
