statement,future,source
"The “lost decade” of the 1980s was the result of exactly the same problems, although there was also an international economic crisis and an absence of democratic 28  legitimacy in most of the continent at that time.",No,UN General Debates Corpus
"Democracy, as a system of government, ended up being conflated with the limitations of individuals, while in truth the problem was that Governments were unable to produce effective responses.",No,UN General Debates Corpus
"Direct help to Governments, in the form of loans or grants, has not been enough or sufficiently effective to solve the problems of poverty or the lack of growth that the aid was supposed to correct.",No,UN General Debates Corpus
"Stopping payments, restructuring, adjustments — that is a road that we have been down before, and our region was the loser.",No,UN General Debates Corpus
"It is shameful that in the technological age, when so many things have been invented that were unimaginable just 10 years ago, that we have not been able to invent a way for millions of people in the world to escape from the subhuman conditions to which poverty condemns them.",No,UN General Debates Corpus
"That region’s macabre statistics remind us — as if that were still necessary — of the urgent need to bring the parties to the negotiating table on the basis of the road map, which the Security Council itself endorsed through its resolution 1515 (2003).",No,UN General Debates Corpus
"On 24 July, the building of democratic structures was completed through municipal and local elections, to the great satisfaction of everyone.",No,UN General Debates Corpus
The restored status of the State has made it possible — thanks to the personal intervention of President Tandja Mamadou — to quickly overcome the resistance of the remaining few who were still opposed to the expanded polio vaccination programme.,No,UN General Debates Corpus
As we have no other choice but to cure — since we have been unable to prevent — we have to considerably increase United Nations capabilities in the areas of peacekeeping and management of post-conflict situations.,No,UN General Debates Corpus
"We must, however, remember that in prosecuting that struggle it is imperative that we preserve the democratic freedoms that have been so dearly won by our citizens, and the open society, which is the essence of democracy.",No,UN General Debates Corpus
"10  We have all acknowledged the need for reform, and for more than a decade have been involved in a multidimensional discussion in order to bring the institutional architecture of the United Nations system and its operating methods up to date in accordance with the changing realities the elements of the system were devised to confront.",No,UN General Debates Corpus
"In developing countries, in particular the least developed countries and especially Benin, where many efforts have been made to reinforce democracy, strengthen the decentralization process and fight poverty, communities and non-governmental organizations must be strengthened to decentralize management of the environment and thus promote development at the local level.",No,UN General Debates Corpus
"Encouraging efforts have been made in the areas of official development assistance, managing the foreign debt of heavily indebted countries and multinational trade negotiations — in particular those undertaken in the context of the New Partnership for Africa’s Development.",No,UN General Debates Corpus
The general framework of negotiations on that document was based on the agreement of developed countries to bring domestic subsidies for their farmers to a level 12  that permits farmers in the least developed countries to live off the fruits of their labours.,No,UN General Debates Corpus
This was only the last of a whole series of heinous attacks in all regions of the world targeted against innocents.,No,UN General Debates Corpus
I was happy to meet with the members of the Panel when it held its meeting in Austria earlier this year.,No,UN General Debates Corpus
This was the very idea of the founders of the United Nations.,No,UN General Debates Corpus
"As a result, international interests have become interwoven and the distinction between local and international questions has almost vanished in light of the spread of globalization.",No,UN General Debates Corpus
People need the United Nations now more than they did a half a century ago.,No,UN General Debates Corpus
"As reform and modernization of the United Nations have become a goal for the majority of its Members, by the same token, leaders and political experts in many parts of the world, including the Arab world, have become aware that reform and modernization are important issues in their societies in order to address the demands for change and the movement of history, and that these issues must be addressed with clear-sightedness and wisdom, to meet 25  the hopes and aspirations of the new generation for progress and democratization.",No,UN General Debates Corpus
"Barbados was particularly pleased at the election of a representative of a small island Caribbean State to that high office in the United Nations, and President Hunte’s outstanding performance was testimony to the critical and effective role that small islands can play in the multilateral process.",No,UN General Debates Corpus
His guidance of the work to revitalize the Assembly was particularly noteworthy.,No,UN General Debates Corpus
"In addition to the impact of natural disasters to which I have already referred, the trans-shipment of nuclear waste through the Caribbean Sea, global warming and water pollution all threaten our very existence as a nation.",No,UN General Debates Corpus
"As the first landfall upon crossing the Atlantic Ocean, Barbados was the recipient of a large number of African slaves, leading to a major imprint of African cultures on the formation of the Barbadian society.",No,UN General Debates Corpus
"However, the achievements of the United Nations have been undermined by increasingly complex international developments.",No,UN General Debates Corpus
It was the year in which the Iraq war brought the debate on the United Nations role into sharper focus.,No,UN General Debates Corpus
"This was highlighted in the Sana’a Declaration on Democracy, Human Rights and the Role of the International Criminal Court, adopted earlier this year at the Sana’a Intergovernmental Regional Conference.",No,UN General Debates Corpus
The Forum was organized in response to reform initiatives that came from the Governments and peoples of the region.,No,UN General Debates Corpus
That meeting was also attended by the head of the African Union Commission and the Foreign Minister of Nigeria representing President Obasanjo of Nigeria — the current Chairman of the African Union.,No,UN General Debates Corpus
They also rejected all attempts to create a rift in Arab-African relations and stressed that there was no hard evidence of genocide.,No,UN General Debates Corpus
"The past year was again marked by international terrorism, which claimed countless innocent lives.",No,UN General Debates Corpus
"The United Arab Emirates reiterates its strong condemnation of all acts of terrorism in the Gulf region, especially in the fraternal Kingdom of Saudi Arabia and other areas where a number of residential areas were targets of horrific terrorist attacks.",No,UN General Debates Corpus
"Here, we look forward to the outcome of the recent visit of the Director General of the International Atomic Energy Agency (IAEA) to a number of countries in the region, which was aimed at convincing their Governments to relinquish the nuclear arsenals that pose a threat to neighbouring countries.",No,UN General Debates Corpus
Technical assistance and financial aid to the population of that long-suffering region have been sporadic.,No,UN General Debates Corpus
The people of the region were the unwitting victims of some 500 nuclear-weapons tests conducted in the heat of the global arms race.,No,UN General Debates Corpus
Denmark is a candidate for election to the Security Council during this session of the General Assembly.,No,UN General Debates Corpus
"In the world of today, huge global disparities in resources have become apparent to everybody.",No,UN General Debates Corpus
We are now in the era of implementation of those human rights commitments that have been undertaken.,No,UN General Debates Corpus
"In the past, 125 of us were subjected to the oppression of a few Powers that originally occupied less than 2 per cent of the globe.",No,UN General Debates Corpus
"In 1820, the per capita income of the richest nation in the world was five times greater than that of the poorest one.",No,UN General Debates Corpus
The former subjects have become perpetual debtors in the international economic system.,No,UN General Debates Corpus
"Today, in 54 countries, per capita income is lower than what it was 10 years ago; in 34 countries, life expectancy has decreased; and in 14 countries, a greater number of children are starving to death.",No,UN General Debates Corpus
"Such organizations were created to provide solutions, but, by adopting excessive rigour, they themselves have sometimes become part of the problem.",No,UN General Debates Corpus
"It was in this same spirit of contributing to the reduction of poverty that Brazil, India and South Africa established, last year, the India-Brazil-South Africa (IBSA) Fund.",No,UN General Debates Corpus
The bouts of instability in our region have been dealt with while strictly respecting our institutions.,No,UN General Debates Corpus
"Coordination among countries from Africa, Asia and Latin America in the Group of 20 was decisive for keeping the Doha Round on the right track of trade liberalization with social justice.",No,UN General Debates Corpus
"Once again this year, my country has been contributing to the Global Fund to fight AIDS, Tuberculosis and Malaria, which was created following the twenty-sixth special session of the General Assembly, the first to be devoted to a disease.",No,UN General Debates Corpus
"We have been providing regular support for the activities of the Joint United Nations Programme on HIV/AIDS (UNAIDS) since its creation, and I am pleased to announce that the Principality has decided to strengthen its financial cooperation with the Programme.",No,UN General Debates Corpus
"On a personal note, I have just completed my first six months as Prime Minister in the first term of the party that was elected to govern Antigua and Barbuda on 23 March of this year.",No,UN General Debates Corpus
"Not surprisingly, small societies like those of the English-speaking Caribbean have become casualties, not beneficiaries, of globalization and of the new world economic order.",No,UN General Debates Corpus
"The OECD offensive against what were termed “harmful tax jurisdictions”, manifestly discriminated against international financial centres in the Caribbean.",No,UN General Debates Corpus
Our responses to this challenge were responsible and effective.,No,UN General Debates Corpus
"We have been blessed with the most desirable beaches in the world, and we welcome the world to share our beaches and our incomparable natural environment.",No,UN General Debates Corpus
"Today two nations within the Caribbean region, Grenada and Haiti, have been devastated by natural disaster.",No,UN General Debates Corpus
"Homes and crops have been destroyed, with floodwater lines on buildings measuring up to 10 feet high.",No,UN General Debates Corpus
We have been compelled to finance security infrastructure for which we had no provisions.,No,UN General Debates Corpus
"To date, there have been no concessions afforded to the special needs of small States in our negotiations with the European Union, on the Free Trade Area of the Americas and with the World Trade Organization.",No,UN General Debates Corpus
"In Liberia, there is hope since the transitional Government was established.",No,UN General Debates Corpus
"Due to the Republika Srpska entityís failure to cooperate with the International Criminal Tribunal for the former Yugoslavia (ICTY), we have been unable to gain Partnership for Peace membership, although we meet all of the requirements.",No,UN General Debates Corpus
"Many new central institutions have been set up, such as the Defence and Security Ministry, the intelligence service, the Bosnia and Herzegovina Joint Military Command and others.",No,UN General Debates Corpus
"Since the Dayton Peace Accords were signed, not a single foreign soldier has been killed in Bosnia.",No,UN General Debates Corpus
"Some public and political officials are trying to find an excuse for the war crimes, saying they were committed in the interest of vital ethnic protection.",No,UN General Debates Corpus
"The outstanding issue of about 15,000 missing persons, whose bodies are spread among numerous mass graves throughout the country, 320 of which have been found so far in Bosnia, presents a big problem for my country.",No,UN General Debates Corpus
"Therefore, we take this opportunity to confirm our intention of putting forth our candidature for the 2010-2011 term.",No,UN General Debates Corpus
"That was made possible by an increased budgetary allocation to the sector, by debt relief, by increased aid channelled through our own budget and by local ownership and participation.",No,UN General Debates Corpus
"Its declaration of responsibility for the massacres against innocent and unarmed refugees at Gatumba was the proverbial last straw for us in the region, so we took a stand and declared the FNL a terrorist group.",No,UN General Debates Corpus
"When the Middle East road map was put forward in 2003, we supported it, believing that it addressed comprehensively the issue of the establishment of a viable Palestinian State living with the State of Israel, with recognized and secure borders between them.",No,UN General Debates Corpus
"Many of us have been traumatized by terrorism, by the brutal acts of repression that are taking place in many parts of the world and by the tense situation and developments in Iraq.",No,UN General Debates Corpus
"While we have seen many examples of State terrorism, terrorism has become essentially stateless and nebulous in nature, and is able to spread without regard to borders or nationalities.",No,UN General Debates Corpus
"The critical needs and ills confronting mankind were identified at that Summit, and we committed to resolving them in various ways and according to a specific timetable.",No,UN General Debates Corpus
"Despite this realization, however, development assistance programmes have become more selective, aimed at a small group of countries that are in some way qualified.",No,UN General Debates Corpus
"The historic Millennium Summit of the United Nations, which brought together 189 nations in September 2000 and adopted the Millennium Declaration, was a clarion call for action to solve these problems and set forth the Millennium Development Goals with measurable goals and targets for combating them.",No,UN General Debates Corpus
"It was, therefore, a very welcome and positive development when the General Assembly, in its resolution 57/7 of 4 November 2002, urged the international community to organize support for African countries within the framework of the principles, objectives and priorities of NEPAD.",No,UN General Debates Corpus
The concerns of developing countries have been reiterated in this Assembly over the years; we therefore urge our developed partners to act now.,No,UN General Debates Corpus
"Unfortunately, despite the substantial measures taken by the Government in combating the scourge, Ghanaís efforts have been severely constrained by a lack of adequate resources required to prevent new infections, provide care and support for people, particularly women and children living with HIV/AIDS.",No,UN General Debates Corpus
My thanks and my congratulations also go to your predecessor and his team for their dedication and the enthusiasm with which they did a great deal of work — which was much appreciated by all — in a particularly tense environment marked by animated debates about the Iraqi crisis.,No,UN General Debates Corpus
"The past year for Chad, as for many African countries, was a year of serious concerns regarding the armed conflicts raging everywhere — conflicts that took peaceful populations hostage, destabilized our States and continued to jeopardize the joint efforts being made to establish democratic institutions and promote socio-economic progress.",No,UN General Debates Corpus
"In addition, the task of adapting our legislation to national and international realities was imposed on our national representation meeting, which made a commitment on 26 May 2004, to a procedure aimed at amending some provisions of the Fundamental Law adopted by referendum on 31 March 1996.",No,UN General Debates Corpus
"In this context of globalizing economies, in which the rules of the game are constantly being subverted, in particular by the practice of the largest States of subsidizing their own agricultural products to the detriment of the poorer countries, all efforts to resolve these developmental problems have been inconclusive.",No,UN General Debates Corpus
"With the exception of oil resources, we are witnessing an ongoing decline in export earnings due to fluctuating commodity prices on international markets, and losses, caused principally by the policy of providing subsidies, continue to grow; yet States have been slow to help the least developed countries by meeting the commitments they made at successive development conferences.",No,UN General Debates Corpus
"Here, let me speak of the cotton initiative, whose purpose is to obtain compensation for harm caused by subsidies that have been detrimental to the economies of cotton-producing African countries.",No,UN General Debates Corpus
"As if that were not enough, in addition to the inherent difficulties of the international economic environment, those very farmers are today confronting a threat of an entirely different scope: the invasions of locusts.",No,UN General Debates Corpus
"That flow has consequences for our people and for the environment, whose ecosystems were already in a precarious state of fragility caused by the aridity of the soil and the climate.",No,UN General Debates Corpus
"My country served both as a non- permanent member of the Security Council and, simultaneously, as President of the fifty-fourth session of the General Assembly, whose task, among others, was to prepare for the Millennium Summit and the adoption of the historic Millennium Declaration.",No,UN General Debates Corpus
"I was thus called upon to co-chair that Summit together with my Finnish counterpart, Her Excellency Ms. Tarja Halonen.",No,UN General Debates Corpus
"At the end of the meeting, a declaration was adopted, which Namibia fully supports.",No,UN General Debates Corpus
That was my first humble but determined emergence on the diplomatic scene.,No,UN General Debates Corpus
Namibiaís protracted liberation struggle was bloody and bitter.,No,UN General Debates Corpus
It caused the untold suffering and sacrifices of our people inside the country and those of us who were forced to spend many decades in exile.,No,UN General Debates Corpus
"8  Namibia became principally the legal responsibility of the United Nations, and in that way a unique partnership was forged for a common cause between the world Organization and the struggling Namibian people, which endured for 30 daunting and eventful years.",No,UN General Debates Corpus
"I wish to recall with appreciation that my initial access to the United Nations was made possible by non-governmental organizations, church groups, a handful of United Nations staff members and concerned diplomats from friendly countries.",No,UN General Debates Corpus
"Since the days of the Organization of African Unity, the United Nations and Africa have been true partners.",No,UN General Debates Corpus
"The African Union’s Extraordinary Summit on Employment and Poverty Alleviation in Africa, held on 8 and 9 September in Ouagadougou, Burkina Faso, was also intended to address those concerns.",No,UN General Debates Corpus
"In our subregion of Central Africa, we were pleased with the positive outcome on 12 July 2004 of the national forum held in Sao Tome and Principe, scheduled under the Memorandum of Understanding, dated 23 July 2003, and concluded under the auspices of the Economic Community of Central African States, the Community of Portuguese-Speaking Countries, the African Union, the United States of America and Nigeria.",No,UN General Debates Corpus
"Similarly, we expect implementation of the conclusions of the multifaceted mission that was dispatched to Central Africa in June 2003 by the Secretary-General.",No,UN General Debates Corpus
We therefore welcome the reform process undertaken by the Secretary-General and are truly hopeful regarding the recommendations of the high- level panel which was set up to examine the principle threats and challenges to collective peace and security and to make proposals with respect to reform of the international system.,No,UN General Debates Corpus
"But even as we founded the United Nations we recognized that sovereignty was a trust in the hands of a nationís government: there to be respected, not abused, from either without or within.",No,UN General Debates Corpus
"The conventions were designed to protect citizens from abuse by States, not by terrorists.",No,UN General Debates Corpus
I am proud that the United Kingdom and so many other nations have offered that protection when and where it was required.,No,UN General Debates Corpus
"The mistakes committed during the world war on terror, regardless of whether they were committed in good faith or in bad faith, have worked as a call to promote and practice terrorism, which has been embraced by an enemy whose whereabouts we do not know.",No,UN General Debates Corpus
The peoples of the world were optimistic about the great strides that were made in science and technology and the collective and individual achievements that spanned all fields of human endeavour in the past two decades.,No,UN General Debates Corpus
"Today, a wave of pessimism has taken over the world because of extremist and intolerant policies advanced by some strategic think-tanks that were determined to find a new enemy, under any pretext, after the fall of the Soviet Union.",No,UN General Debates Corpus
"It was hoping to achieve the following: first, to incite the Americans in particular and the West in general to wage endless wars in the Middle East, in order to underscore the old-new theory of Israel that the Arab- Israeli conflict is not the core of the problems of the region.",No,UN General Debates Corpus
They ignored the fact that the Iraqis refused to adopt the new flag that was designed for their country after the war simply because its colours somehow bear resemblance to the Israeli flag.,No,UN General Debates Corpus
That was the basis of Syria’s serious engagement in the peace negotiations for over a decade.,No,UN General Debates Corpus
It was rather disparaging that the Foreign Minister of Israel used this rostrum of international legitimacy to ignore the facts and selectively refer to a resolution recently adopted by the Security Council on Lebanon.,No,UN General Debates Corpus
"Its potential has been wasted and its material and intellectual resources squandered, thus preventing it from attaining its development goals and advancing its capacities.",No,UN General Debates Corpus
"Syria was among the first countries of the region to call for declaring the Middle East region a zone free of all weapons of mass destruction, in particular nuclear weapons.",No,UN General Debates Corpus
The road map announced on 30 April 2003 was welcomed by the Arab countries but has yet to be implemented.,No,UN General Debates Corpus
It was a milestone in the development of the situation in Iraq.,No,UN General Debates Corpus
"We feel that certain successes have been achieved through the adoption of political dialogue, and that it is essential to Iraq to expand that dialogue.",No,UN General Debates Corpus
One of the most horrific of such acts was the hostage-taking in a school in Beslan in North Ossetia in the Russian Federation.,No,UN General Debates Corpus
"However, the results of the new developments have been an amalgamation of democracy and dictatorship, of human rights and enslavement, of great prosperity and extreme poverty, of the provision of advanced health care side by side with fatal contagious diseases, of free trade and world trade monopoly, and of a rise in the price of industrial products and a decline in the prices of the raw materials required to maintain their production.",No,UN General Debates Corpus
"The High-level Panel on Threats, Challenges and Change was established in the context of an initiative by the Secretary-General to seek ways of reforming the Organization, and in particular of expanding the permanent membership of the Security Council.",No,UN General Debates Corpus
"That is why France committed itself here to the fight, and did so again recently by supporting the strengthening of the Counter-Terrorism Committee.",No,UN General Debates Corpus
"The tragedy of 11 September, which I refer to with feeling here in New York City, was an attack on us all.",No,UN General Debates Corpus
"France, as everyone knows, did not approve of the conditions in which the conflict was unleashed.",No,UN General Debates Corpus
"The most recent inter- Arab initiative was launched by Arab private sector 12  and grass-roots civil organizations, with active Jordanian participation, in Amman on the margin of the World Economic Forum, which was convened at the Dead Sea last May.",No,UN General Debates Corpus
"Of special significance in this regard is the aid needed and expected from the Group of Eight industrial Powers to Jordan’s plans and initiatives, which have been based on positive, realistic and sustainable goals.",No,UN General Debates Corpus
"In that regard, the Court’s opinion was both clear and specific on the following points.",No,UN General Debates Corpus
"Furthermore, Israel must cease its violations relating to the construction of the wall by, inter alia, dismantling those portions of it erected in the occupied Palestinian territories, reinstating the rights of the owners whose lands were lost and compensating those who incurred losses as a result of Israel’s illegal actions.",No,UN General Debates Corpus
The Treaty on the Non-proliferation of Nuclear Weapons (NPT) and the Comprehensive Nuclear-Test- Ban Treaty (CTBT) were designed as an essential first step towards a world free from the danger that such weapons pose.,No,UN General Debates Corpus
"The creation of the African Union and the New Partnership for Africa’s Development (NEPAD), and the great strides that have been taken in the past two years, are a clear indication that we are moving in the right direction.",No,UN General Debates Corpus
"In our view, the leaders were correct to make the related topics of peace, security, development and poverty eradication priorities to be addressed, because future world stability depends on the ability of national Governments to increase the momentum for economic development and their capacity to improve the delivery of job creation and essential services such as health and education.",No,UN General Debates Corpus
Developing countries have been facing special difficulties in responding to the challenges brought about by globalization.,No,UN General Debates Corpus
"For several weeks now, our country and others of the North and West African regions, have been stricken by an unprecedented locust infestation.",No,UN General Debates Corpus
In the past year we have seen crises and conflicts multiply throughout the world.,No,UN General Debates Corpus
This was especially evident during the Malian presidency of the Community of Sahelo-Saharan States.,No,UN General Debates Corpus
"We have seen this phenomenon on all continents, making it abundantly clear that terrorism has neither homeland nor religion.",No,UN General Debates Corpus
It is true that recently the Organization’s capacity and credibility have been seriously undermined.,No,UN General Debates Corpus
The world has changed a great deal since our hopes and aspirations were enshrined in the Charter almost 60 years ago.,No,UN General Debates Corpus
"With those words, the people were placed at the heart of our United Nations.",No,UN General Debates Corpus
We have seen the face of terror and felt its deadly touch.,No,UN General Debates Corpus
We were among the first in our region to join the international war against terror.,No,UN General Debates Corpus
"The Philippines stands ready to assist in implementing Security Council resolution 1546 (2004) on Iraq, which was unanimously adopted during our presidency of the Council last June.",No,UN General Debates Corpus
"First, the indigenous population - which in Paraguay is not large, totalling no more than 100,000 - lacks access to its most vital needs and faces the disintegration of much of its natural lands owing to the historical rule of indolent landowners, and most recently to a type of agrarian modernization that was insensitive to human dignity.",No,UN General Debates Corpus
"As a result of terrorism and massive violations of basic human rights, nearly 200,000 Serbs and other non-Albanians have been expelled from Kosovo and Metohija.",No,UN General Debates Corpus
"We are also grateful for the principled position that all homes must be rebuilt, that conditions must be created for the return of all of those who have been expelled and that the Serbs in Kosovo and Metohija must be guaranteed the right to life and to freedom of movement and all civil, national and religious freedoms.",No,UN General Debates Corpus
"The nation is innocent; responsibility rests on the individual, and none of those who have been indicted for war crimes has the right to hold a nation hostage.",No,UN General Debates Corpus
"The name 'United Nations' evoked the unity of humankind, in which our shared needs and common humanity were more important than our differences.",No,UN General Debates Corpus
"Yes, world wars have been avoided.",No,UN General Debates Corpus
The composition of the Security Council cannot go on reflecting the world as it was in 1945.,No,UN General Debates Corpus
"More than 3,500 weapons have been collected and destroyed, social services and a credible budgetary progress restored and militiamen and corrupt elements from the police and Government arrested and charged.",No,UN General Debates Corpus
"Reform and restructuring of the United Nations system have become imperatives, since this world Organization remains the ideal mechanism to address the urgent problems of the world, by way of combating poverty and hunger, ensuring the non-proliferation of weapons of mass destruction, achieving disarmament and resolving armed conflicts, combating diseases that take the lives of millions, such as AIDS and malaria.",No,UN General Debates Corpus
"While in the last century our main task was to establish rules of coexistence and conduct for the international community, today, faced with the challenges of the twenty-first century, that task, in our opinion, has become more urgent and ineluctable.",No,UN General Debates Corpus
"Its ideals and founding purposes remain valid, but, as a number of speakers have noted here, the power structure upon which the Organization was built at its inception corresponds to a world that is very different from todayís world.",No,UN General Debates Corpus
"The signing of the Arusha Peace and Reconciliation Agreement for Burundi on 28 August 2000 was a decisive step forward in the peace process in my country, which since 1993 had been devastated by the longest crisis in its history, even jeopardizing the very existence of the nation.",No,UN General Debates Corpus
Some provisions on power-sharing that did not enjoy unanimous support were upheld by 20 of 30 political parties and endorsed by the twenty- second summit of heads of State of the subregion.,No,UN General Debates Corpus
"They were then included in the draft constitution, which was adopted unanimously by our Parliament, with a 70-per cent attendance rate, on 17 September.",No,UN General Debates Corpus
"Entire families have been decimated, millions of children have been orphaned and elderly persons are abandoned, alone and defenceless.",No,UN General Debates Corpus
"Those commitments, which have given rise to much hope throughout the world, have been implemented only partially.",No,UN General Debates Corpus
"The United Nations, through the Secretary-General’s High Representative, participated in the Pacific Island Forum Leaders meeting, held in Samoa last month, at which a new strategy for regional cooperation in the Pacific, the Pacific Plan, was considered.",No,UN General Debates Corpus
"Increasingly, however, we are concerned with the real threats of illegal, unreported and unregulated fishing and of ocean pollution from waste, particularly from the trans-shipment of highly radioactive and toxic materials through our region.",No,UN General Debates Corpus
